id,start_pos,end_pos,surface,wikidata,zericatalog,arco
tiziano:932,977,1009,"an ""Ecce Homo"" with many figures",Q4411819,42053.0,
tiziano:932,1111,1189,"a picture of Our Lady with other figures the size of life, of men and children",,,
tiziano:932,1383,1478,"an Angel Raphael with Tobias and a dog in the Church of S. Marziliano, with a distant landscape",,42104.0,500154606.0
verrocchio:883,1090,1148,"a cup, full of animals, foliage, and other bizarre fancies",,,
verrocchio:883,1224,1292,"another, on which there is a very beautiful dance of little children",,,
verrocchio:883,1403,1464,two scenes in silver for the ends of the altar of S. Giovanni,Q24933218,75020.0,
verrocchio:884,1005,1175,"three life-size figures of wax with the aid and direction of Andrea, making the skeleton within of wood, after the method described elsewhere, interwoven with split reeds",,75544.0,
zuccari:934,1165,1187,some stories of Christ,,31414.0,
zuccari:934,1585,1737,"a frieze in the principal hall of the Belvedere (to which one ascends by the spiral staircase), with stories of Moses and Pharaoh, beautiful to a marvel",,,
zuccari:934,2024,2065,the Angel slaying the first-born in Egypt,,,
zuccari:934,2834,2841,Justice,,,
zuccari:934,2846,2852,Equity,,,
