id;start_pos;end_pos;surface;type;true_id;output_id;output_wiki;score;relation
6;130;152;house of Amerigo Benci;LOC;Q3889642;Q839746;Loggia della Signoria >> en;-1.5029354095458984;
6;239;244;works;MISC;Q17537576;Q488841;Adoration of the Magi >> en;-1.2918115854263306;
7;129;134;thing;MISC;Q35120;Q387834;Thing (assembly) >> en;-0.4999225437641144;
7;147;152;heads;MISC;Q23640;Q56167459;Head of Christ >> en;-1.0208079814910889;
7;160;168;Apostles;PER;Q4155679;Q43412;Apostles >> en;-0.2063731849193573;Close
7;219;223;head;MISC;Q23640;Q56167459;Head of Christ >> en;-0.645845890045166;
8;75;79;wall;MISC;Q42948;Q1093646;Walls of Milan >> en;-0.9297937154769897;
8;110;116;manner;MISC;Q12894677;Q131808;Mannerism >> en;-1.055432915687561;
8;186;189;son;MISC;Q177232;Q1532877;Duke of Ferrara and of Modena >> en;-0.8008928298950195;
8;209;213;side;MISC;Q30444261;Q3269441;Side effect >> en;-2.082172393798828;
8;242;251;Francesco;PER;Q378868;Q310536;Francesco I Sforza >> en;-0.1255936622619629;
8;265;268;son;MISC;Q177232;Q312305;Francis I of the Two Sicilies >> en;-1.4066929817199707;
9;21;26;works;MISC;Q17537576;Q1469799;List of paintings by Leonardo da Vinci >> en;-0.08059799671173096;Related
9;148;153;thing;MISC;Q35120;Q387834;Thing (assembly) >> en;-0.3183380663394928;
9;162;166;lion;MISC;Q104536223;Q140;Lion >> en;-0.21941085159778595;Related
9;188;193;steps;MISC;Q16511984;Q1751548;Stepper >> en;-1.6060162782669067;
10;7;10;end;MISC;Q12769393;Q5376582;Endpoint >> en;-1.659282922744751;
10;22;29;cartoon;MISC;Q1416517;Q627603;Cartoon >> en;-0.19902154803276062;Close
10;43;50;Madonna;PER;Q345;Q926743;Madonna (art) >> en;-0.27744969725608826;Close
10;227;232;sight;MISC;Q162668;Q1682108;Vision (spirituality) >> en;-0.9323822855949402;
10;361;367;people;MISC;Q5;Q2472587;People >> en;-0.24773141741752625;Exact
10;406;413;Madonna;PER;Q345;Q926743;Madonna (art) >> en;-0.26395130157470703;Close
10;500;505;grace;MISC;Q17148382;Q205194;Grace in Christianity >> en;-0.3425845503807068;Related
10;511;518;picture;MISC;Q478798;Q926743;Madonna (art) >> en;-0.5771832466125488;
10;573;580;modesty;MISC;Q1186677;Q11199149;Modesty >> en;-0.19243378937244415;Exact
10;670;678;gladness;MISC;Q8;Q3852175;Divine grace >> en;-1.0451068878173828;
10;707;710;Son;PER;Q942467;Q302;Jesus >> en;-0.80660480260849;Close
10;738;748;tenderness;MISC;Q19816620;Q4922732;Tenderness (medicine) >> en;-1.0264312028884888;
10;816;823;S. John;PER;Q40662;Q44015;John the Apostle >> en;-1.242040991783142;
10;865;869;lamb;MISC;Q4575936;Q7368;Sheep >> en;-0.2271365523338318;Related
10;927;930;joy;MISC;Q8;Q935526;Joy >> en;-0.07542265951633453;Exact
10;981;986;ideas;MISC;Q131841;Q33442;Idealism >> en;-1.2303138971328735;
11;91;95;wife;MISC;Q188830;Q153032;Lisa del Giocondo >> en;-1.074629306793213;Narrower
11;170;174;work;MISC;Q17537576;Q12418;Monna Lisa >> en;-0.6508640646934509;Close
11;189;199;collection;MISC;Q208165;Q201428;Palace of Fontainebleau >> en;-0.11423653364181519;
12;66;74;Pope Leo;PER;Q49237;Q43954;Pope Leo I >> en;-0.5572625398635864;
12;120;127;studies;MISC;Q1782301;Q42240;Research >> en;-1.2212086915969849;Close
12;175;180;paste;MISC;Q904216;Q5726634;Paste (food) >> en;-1.502969741821289;Related
12;194;198;kind;MISC;Q21146257;Q488085;Kindness >> en;-1.7354309558868408;
12;319;322;air;MISC;Q7391292;Q3230;Atmosphere of Earth >> en;-0.08247923851013184;Related
12;366;372;ground;MISC;Q21152267;Q6501125;Ground (electricity) >> en;-0.7948865294456482;
13;48;52;work;MISC;Q17537576;Q1469799;List of works by Leonardo da Vinci >> en;-0.48567068576812744;
13;62;69;cartoon;MISC;Q1416517;Q627603;Cartoon >> en;-0.2197754681110382;Close
13;77;90;Sala del Papa;LOC;Q3657394;Q1510907;Papal household >> en;-2.2949697971343994;Close
13;143;148;story;MISC;Q1318295;Q979543;Niccolò Piccinino >> en;-1.268182635307312;
13;171;178;Captain;MISC;Q273108;Q25114211;Captain >> en;-0.3490530848503113;Close
13;182;194;Duke Filippo;PER;Q289285;Q157098;Philip I of Castile >> en;-0.7727615833282471;
13;227;232;group;MISC;Q16887380;Q1040374;Group (military aviation unit) >> en;-1.0676993131637573;
13;236;244;horsemen;MISC;Q47315;Q179226;Equestrianism >> en;-0.1975182741880417;Related
13;269;277;standard;MISC;Q14660;Q2912707;Military colours, standards and guidons >> en;-1.1434862613677979;Close
13;281;285;work;MISC;Q17537576;Q838948;Work of art >> en;-0.7779526114463806;Close
13;346;352;reason;MISC;Q1710397;Q178354;Reason >> en;-0.16476237773895264;Close
13;334;341;mastery;MISC;Q644238;Q205961;Skill >> en;-0.5644602179527283;Close
13;371;376;ideas;MISC;Q131841;Q33442;Idealism >> en;-1.2405937910079956;
14;81;89;Pope Leo;PER;Q49237;Q43954;Pope Leo I >> en;-0.5315731167793274;
14;100;107;picture;MISC;Q478798;Q926743;Madonna (art) >> en;-0.5878804326057434;
14;115;137;Madonna with the Child;MISC;Q9309699;Q926743;Madonna (art) >> en;-0.24175840616226196;Close
14;145;149;arms;MISC;Q43471;Q14659;Coat of arms >> en;-0.2942644953727722;
14;208;213;fault;MISC;Q1095373;Q47089;Fault (geology) >> en;-0.5853104591369629;
14;311;318;grounds;MISC;Q21152267;Q5611035;Groundwork >> en;-1.628882646560669;
14;33;51;Baldassarre Turini;PER;Q103971045;Q2295190;Baldassare Turini >> en;-0.6850430965423584;Related
15;16;25;disciples;MISC;Q385586;Q11241519;Disciple (Christianity) >> en;-0.29119592905044556;
15;62;81;S. Maria della Pace;LOC;Q3673878;Q1514683;Santa Maria della Pace >> en;-0.06137217581272125;
15;87;106;Passing of Our Lady;MISC;Q1245512;Q1938795;Veneration of Mary in the Catholic Church >> en;-2.019223690032959;Related
15;115;131;Marriage of Cana;MISC;Q625140;Q4095768;Marriage in Judaism >> en;-3.024057388305664;
16;2;10;disciple;MISC;Q385586;Q11241519;Disciple (Christianity) >> en;-0.2843089699745178;
16;65;71;person;PER;Q5;Q215627;Person >> en;-0.2411109209060669;Exact
16;238;261;Our Lady with the Child;MISC;Q9309699;Q345;Mary, mother of Jesus >> en;-0.5653444528579712;Close
16;269;273;arms;MISC;Q43471;Q14659;Coat of arms >> en;-0.2983328402042389;
16;324;330;patron;MISC;Q15472169;Q28914;Patron saint >> en;-0.3474365472793579;
16;418;422;work;MISC;Q17537576;Q838948;Work of art >> en;-0.46539556980133057;Close
16;470;478;disciple;MISC;Q385586;Q11241519;Disciple (Christianity) >> en;-0.2775448262691498;
17;3;9;reason;MISC;Q2574811;Q178354;Reason >> en;-0.16447417438030243;Related
17;19;24;works;MISC;Q17537576;Q15790;Cimabue >> en;-0.5268881320953369;
17;163;170;masters;MISC;Q3276357;Q938926;Masterpiece >> en;-1.2001748085021973;
17;253;258;walls;MISC;Q42948;Q57346;Defensive wall >> en;-1.9883908033370972;
17;263;283;life of Jesus Christ;MISC;Q4923891;Q3012407;Life of Jesus in the New Testament >> en;-0.3714068531990051;Narrower
18;21;25;work;MISC;Q17537576;Q838948;Work of art >> en;-0.35119110345840454;Close
18;92;99;General;MISC;Q103163;Q83460;General officer >> en;-0.39955243468284607;
18;153;160;figures;MISC;Q29527347;Q5448026;Figure painting >> en;-0.6769063472747803;
18;206;213;founder;MISC;Q4479442;Q26950764;Organizational founder >> en;-1.3445837497711182;
18;222;227;Order;ORG;Q1999843;Q2061186;Religious order >> en;-0.8059871196746826;Broader
18;229;244;S. Michelagnolo;PER;Q45581;Q1449262;San Michele in Isola >> en;-1.520849347114563;
18;250;261;S. Bernardo;PER;Q2259281;Q188411;Bernard of Clairvaux >> en;-0.3641090393066406;
18;292;297;Order;ORG;Q2061186;Q662862;Holy orders >> en;-0.8710986971855164;
18;328;334;centre;MISC;Q23595;Q6587194;Centrism >> en;-0.6032121181488037;
19;4;10;talent;MISC;Q1200995;Q190139;Talent (measurement) >> en;-0.5368008017539978;
19;66;75;gentleman;MISC;Q8441;Q749212;Gentleman >> en;-0.11088542640209198;Exact
19;89;101;Jacopo Galli;PER;Q21866988;Q43383009;Jacopo Galli >> en;-0.5197455883026123;
19;116;122;person;PER;Q5;Q215627;Person >> en;-0.39453235268592834;Exact
19;194;200;figure;MISC;Q29527347;Q41680;Bacchus >> en;-0.9991493225097656;
19;206;213;Bacchus;MISC;Q645312;Q41680;Dionysus >> en;-0.0036559104919433594;Close
19;288;303;skin of a tiger;MISC;Q19310055;Q19939;Tiger >> en;-1.8106292486190796;Related
20;38;44;figure;MISC;Q29527347;Q5448026;Figure painting >> en;-0.5471242070198059;
20;48;57;Fortitude;MISC;Q605035;Q15453554;Fortitude >> en;-0.9041250348091125;Disambiguation
20;65;76;Mercatanzia;LOC;Q3998632;Q1283790;Piazza della Repubblica, Florence >> en;-2.6246542930603027;
20;100;108;pictures;MISC;Q478798;Q1400853;Portrait painting >> en;-0.6233189702033997;
20;112;119;Virtues;MISC;Q904802;Q157811;Virtue >> en;-0.20226581394672394;Related
21;7;15;tramezzo;MISC;Q2705982;Q2734120;Tramezzo >> en;-0.904110848903656;
21;67;72;choir;MISC;Q131186;Q207707;Choir (architecture) >> en;-0.20850956439971924;Exact
21;93;101;Vespucci;PER;Q4010390;Q47674;Amerigo Vespucci >> en;-0.39135974645614624;
21;192;200;painters;MISC;Q1028181;Q11629;Painting >> en;-0.4032171070575714;
21;291;295;side;MISC;Q30444261;Q395237;Side >> en;-1.8718363046646118;Disambiguation
21;306;310;work;MISC;Q17537576;Q134194;Fresco >> en;-1.0468593835830688;
21;358;363;Saint;PER;Q8018;Q43115;Saint >> en;-0.21702736616134644;Broader
21;410;418;subtlety;MISC;Q49396791;Q2189995;Subtlety >> en;-1.6839864253997803;
21;484;497;investigation;MISC;Q21004260;Q1127717;Investigative journalism >> en;-0.751716673374176;
21;532;539;matters;MISC;Q26256810;Q159904;Affect (psychology) >> en;-1.6646262407302856;
22;34;38;city;MISC;Q515;Q2044;Florence >> en;-1.48616623878479;Narrower
22;56;64;pictures;MISC;Q478798;Q1400853;Portrait painting >> en;-0.5484855771064758;
22;121;129;Castello;LOC;Q2094778;Q416274;Castello >> en;-0.9172490835189819;Disambiguation
22;178;192;birth of Venus;MISC;Q19760026;Q151047;Birth of Venus >> en;-0.3690973222255707;Related
22;215;222;Zephyrs;MISC;Q467515;Q476682;Anemoi >> en;-0.6674517393112183;Related
22;245;250;earth;MISC;Q21152267;Q2;Earth >> en;-0.229924738407135;Related
23;26;45;house of the Medici;LOC;Q911047;Q170022;House of Medici >> en;0.07678160071372986;
23;54;67;elder Lorenzo;PER;Q932292;Q177854;Lorenzo de' Medici >> en;-0.24724435806274414;
23;84;90;Pallas;MISC;Q457294;Q219027;Pallas >> en;-1.1929255723953247;Disambiguation
24;3;20;S. Maria Maggiore;LOC;Q849356;Q186282;Santa Maria Maggiore >> en;-0.02999928593635559;
24;116;123;figures;MISC;Q29527347;Q1436786;Figure drawing >> en;-1.0214812755584717;
25;7;25;house of the Pucci;LOC;Q3360912;Q10343795;Palazzo Pucci >> en;-1.3566310405731201;Disambiguation
25;60;67;figures;MISC;Q29527347;Q5448026;Figure painting >> en;-0.6194077730178833;
25;80;84;tale;MISC;Q49084;Q1232587;Nastagio degli Onesti >> en;-0.6637137532234192;
25;206;213;picture;MISC;Q478798;Q132001;Epiphany (holiday) >> en;-0.4445575177669525;
26;13;19;Sandro;PER;Q2221177;Q37192461;Sandro >> en;-1.836174726486206;
26;66;73;figures;MISC;Q29527347;Q5448026;Figure painting >> en;-0.5091754198074341;
26;249;255;centre;MISC;Q23595;Q76689;Central place theory >> en;-1.253649115562439;
26;400;410;tenderness;MISC;Q19816620;Q4922732;Tenderness (medicine) >> en;-0.5535209774971008;
26;456;459;end;MISC;Q12769393;Q185985;End time >> en;-0.4350973069667816;
26;472;479;journey;MISC;Q61509;Q317204;Journey >> en;-1.1694109439849854;
27;159;169;S. Anthony;PER;Q170547;Q167477;Anthony of Padua >> en;-0.42192503809928894;
27;192;196;pair;MISC;Q2570803;Q415963;Pair >> en;-1.0258781909942627;Disambiguation
27;218;222;nose;MISC;Q7363;Q2673594;Human nose >> en;-0.45146116614341736;Exact
27;240;246;figure;MISC;Q29527347;Q1436786;Figure drawing >> en;-0.7583134174346924;
28;29;36;actions;MISC;Q4026292;Q217213;Action painting >> en;-0.36062705516815186;
28;40;45;Piero;PER;Q3903143;Q5822;Piero della Francesca >> en;-0.574775755405426;
28;94;122;Church of the Servite Friars;LOC;Q2287001;Q615923;Servite Order >> en;-0.6698958277702332;Related
28;200;210;S. Filippo;PER;Q141900;Q43675;Philip the Apostle >> en;-0.5406982898712158;
28;214;221;brother;MISC;Q548320;Q16824629;Brother (Christian) >> en;-0.36454373598098755;Exact
28;231;236;Order;ORG;Q141838;Q662862;Holy orders >> en;-1.1017526388168335;
28;293;299;ground;MISC;Q21152267;Q16970;Church (building) >> en;-1.1262223720550537;
28;395;398;Son;PER;Q942467;Q302;Jesus >> en;-0.5174446105957031;Close
29;39;45;scenes;MISC;Q88392887;Q1185607;Scene (drama) >> en;-0.690101683139801;Related
29;173;179;animal;MISC;Q1274979;Q729;Animal >> en;-0.10978398472070694;Close
29;264;268;kind;MISC;Q21146257;Q488085;Kindness >> en;-0.41821831464767456;
29;294;298;eyes;MISC;Q7364;Q430024;Human eye >> en;-0.17867115139961243;
30;0;5;Piero;PER;Q280851;Q5822;Piero della Francesca >> en;-0.7612210512161255;
30;48;55;picture;MISC;Q478798;Q134307;Portrait >> en;-1.761433720588684;
30;68;75;figures;MISC;Q29527347;Q1066288;Figurine >> en;-1.0030455589294434;Close
30;117;124;Monster;MISC;Q209489;Q276453;Monster >> en;-0.456862211227417;Broader
30;159;165;things;MISC;Q35120;Q161582;Andromeda (mythology) >> en;-0.9288915991783142;
31;153;158;Loves;MISC;Q5011;Q6692423;Lovers (stock characters) >> en;-1.079452633857727;
31;218;225;armlets;MISC;Q689965;Q6398218;Armlet >> en;-0.8158328533172607;Close
31;395;399;Love;MISC;Q5011;Q316;Love >> en;-0.3027985990047455;Related
32;38;43;house;MISC;Q3947;Q3065487;Salviati family >> en;-0.8784084320068359;
32;153;159;scenes;MISC;Q331341;Q1185607;Scene (drama) >> en;-0.8680771589279175;Related
32;235;246;sylvan gods;MISC;Q548445;Q352261;Sylvanus >> en;-0.8969728350639343;Disambiguation
32;248;259;little boys;MISC;Q284865;Q11458821;Little people (mythology) >> en;-1.384616494178772;
32;308;317;diversity;MISC;Q36793538;Q190656;Multiculturalism >> en;-0.6864327192306519;
32;382;390;features;MISC;Q1207505;Q5439694;Features of the Marvel Universe >> en;-1.1436351537704468;
32;358;365;variety;MISC;Q36793538;Q336181;Variety show >> en;-0.4727999269962311;
32;411;416;grace;MISC;Q17148382;Q205194;Grace in Christianity >> en;-0.5090529918670654;
33;0;5;Piero;PER;Q280851;Q5822;Piero della Francesca >> en;-0.6441434025764465;
33;74;80;friend;MISC;Q17297777;Q491;Friendship >> en;-0.2493467628955841;Related
33;126;131;Piero;PER;Q280851;Q5822;Piero della Francesca >> en;-0.9022433161735535;
33;147;156;Francesco;PER;Q2252502;Q315640;Francesco di Paola >> en;-2.559992551803589;
33;189;194;Piero;PER;Q280851;Q5822;Piero della Francesca >> en;-0.775253176689148;
33;169;173;work;MISC;Q17537576;Q1400853;Portrait painting >> en;-1.1411042213439941;
33;264;267;asp;MISC;Q169897;Q3226601;Asp (reptile) >> en;-0.2552473843097687;Exact
33;358;369;grandfather;MISC;Q9238344;Q167918;Grandparent >> en;-0.07267539203166962;Broader
