id,start_pos,end_pos,type,alias,wb_id,score
3,915,923,PER,Giovanni Tolomei >> en,Q731956,-0.31260618567466736
3,983,988,ORG,State (polity) >> en,Q7275,-0.6643750071525574
3,1084,1089,LOC,Siena Cathedral >> en,Q282554,-0.02833472192287445
3,1215,1227,LOC,"Porta Romana, Siena >> en",Q2104857,-0.3616509735584259
3,1335,1351,LOC,Porta di Sant'Andrea >> it,Q21164295,-4.765219211578369
3,1377,1389,LOC,Tufi >> en,Q7851499,-3.0393080711364746
3,1417,1443,LOC,Porta Sant'Agata >> it,Q3908817,-2.442440986633301
3,1491,1499,PER,Agostino da Siena >> en,Q395759,-1.6034762859344482
3,1504,1510,PER,Tolomei >> en,Q21450788,-2.4910190105438232
3,1532,1566,LOC,"Basilica of San Francesco, Siena >> en",Q810074,-0.03490781784057617
3,1672,1679,PER,Tolomei >> en,Q21450788,-0.41833844780921936
3,1709,1716,LOC,Orvieto >> en,Q541,-0.16946285963058472
3,1718,1726,PER,Agostino da Siena >> en,Q395759,-1.953737735748291
3,1731,1737,PER,Tolomei >> en,Q21450788,-1.2072995901107788
3,1795,1803,LOC,"Santa Maria Assunta, Siena >> en",Q282554,-0.9458109736442566
4,50,58,LOC,Florence >> en,Q2044,-0.17720866203308105
4,101,135,PER,Lorenzo de' Medici >> en,Q177854,-0.10229350626468658
4,180,214,PER,Michelangelo >> en,Q5592,-1.5669989585876465
4,196,214,PER,Viviano >> en,Q21507491,-2.3009257316589355
4,207,214,LOC,Gaio Lelio >> it,Q706305,-6.585511207580566
4,364,376,PER,Michelangelo >> en,Q5592,-1.2544411420822144
4,687,695,LOC,Florence >> en,Q2044,-0.17654293775558472
4,708,727,PER,Lorenzo de' Medici >> en,Q177854,-0.08445608615875244
4,749,755,ORG,House of Medici >> en,Q170022,-0.20832745730876923
4,801,809,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.10775420069694519
4,831,850,PER,Lorenzo de' Medici >> en,Q177854,-0.0774369090795517
4,864,882,LOC,Piazza Santa Croce >> en,Q1017385,-0.8591640591621399
4,1047,1066,PER,Lorenzo de' Medici >> en,Q177854,-0.12839283049106598
4,1360,1372,PER,Michelangelo >> en,Q5592,-1.237523078918457
4,1377,1383,ORG,House of Medici >> en,Q170022,-0.2118506282567978
4,1409,1417,LOC,Florence >> en,Q2044,-0.17803998291492462
4,1691,1703,PER,Michelangelo >> en,Q5592,-1.4320685863494873
4,1726,1737,PER,Bartolommeo >> en,Q7780,-1.2154433727264404
4,1817,1823,PER,Baccio >> en,Q4838662,-0.8463364243507385
4,1825,1837,PER,Michelangelo >> en,Q5592,-1.3466097116470337
5,0,8,PER,Pope Leo I >> en,Q43954,-0.6366300582885742
5,81,110,LOC,Basilica della Santa Casa >> en,Q654996,-0.12828071415424347
5,104,110,LOC,Basilica della Santa Casa >> en,Q654996,-0.08682486414909363
5,144,186,PER,Andrea Contucci >> en,Q495011,0.24353814125061035
5,171,186,LOC,Sansovino >> en,Q447269,-2.8878471851348877
5,306,312,PER,Baccio >> en,Q4838662,-0.8970117568969727
5,321,325,LOC,Rome >> en,Q220,-0.21711181104183197
5,335,339,PER,Pope >> en,Q19546,-0.3578173816204071
5,374,379,PER,David >> en,Q41370,-0.26558032631874084
5,396,403,PER,Goliath >> en,Q192785,-0.09970712661743164
5,542,573,LOC,House of Medici >> en,Q170022,-0.5606645941734314
5,555,561,ORG,House of Medici >> en,Q170022,-0.1853400468826294
5,565,573,LOC,Florence >> en,Q2044,-0.1689775288105011
5,601,606,PER,David >> en,Q41370,-0.5526981353759766
5,610,616,PER,Donato >> en,Q411627,-1.119760274887085
5,648,661,LOC,Palazzo Medici Riccardi >> en,Q911047,-0.24244359135627747
5,680,686,LOC,Palazzo Medici Riccardi >> en,Q911047,-0.5043491125106812
5,713,720,ORG,Signoria of Florence >> en,Q3393334,-0.32903558015823364
5,726,730,PER,Pope >> en,Q19546,-0.49058258533477783
5,747,753,PER,Baccio Bandinelli >> en,Q358348,-0.6607410907745361
5,810,815,PER,David (Michelangelo) >> en,Q179900,-0.6056593656539917
5,829,835,LOC,Basilica della Santa Casa >> en,Q654996,-0.37322017550468445
5,839,853,PER,Andrea Contucci >> en,Q495011,-0.035395920276641846
5,871,877,PER,Andrea Contucci >> en,Q495011,-0.682380735874176
5,938,944,LOC,Basilica della Santa Casa >> en,Q654996,-0.33347371220588684
5,974,988,PER,Andrea Contucci >> en,Q495011,-0.028932780027389526
5,1058,1062,PER,Pope >> en,Q19546,-0.39785391092300415
5,1157,1177,MISC,Nativity of Mary >> en,Q501107,-0.15706489980220795
5,1169,1177,PER,"Mary, mother of Jesus >> en",Q345,-0.42386046051979065
5,1179,1185,PER,Baccio Bandinelli >> en,Q358348,-0.4851280450820923
5,1434,1448,PER,Andrea Contucci >> en,Q495011,0.03454101085662842
5,1604,1610,PER,Baccio >> en,Q4838662,-1.4540817737579346
5,1623,1637,PER,Andrea Contucci >> en,Q495011,-0.07284533977508545
5,1909,1915,PER,Baccio >> en,Q4838662,-1.4189435243606567
5,1961,1967,PER,Baccio Bandinelli >> en,Q358348,-1.070863962173462
5,2018,2032,PER,Andrea Contucci >> en,Q495011,-0.06867453455924988
5,2101,2111,PER,Bartolommeo Bandinelli >> en,Q358348,-0.14445984363555908
5,2210,2216,LOC,Basilica della Santa Casa >> en,Q654996,-0.15310831367969513
5,2218,2224,PER,Baccio Bandinelli >> en,Q358348,-0.3669377565383911
5,2250,2256,LOC,Ancona >> en,Q3415,-0.1869177371263504
5,2393,2415,PER,Raffaello da Montelupo >> en,Q1370859,0.4896945059299469
5,2456,2470,PER,Maestro >> en,Q1836630,-0.7203322649002075
6,1125,1151,PER,Filippo Brunelleschi >> en,Q174330,0.039342254400253296
6,1136,1151,PER,Filippo Brunelleschi >> en,Q174330,-0.017327547073364258
6,1198,1222,PER,Messer >> en,Q673300,-4.009090900421143
6,1215,1222,LOC,Rabatta >> it,Q2124855,-2.545614004135132
6,1227,1233,PER,Giotto >> en,Q7814,-0.13159418106079102
6,1313,1319,LOC,Heaven >> en,Q4489450,-0.25888609886169434
6,1639,1645,LOC,Heaven >> en,Q4489450,-0.26241347193717957
6,1747,1754,PER,Filippo >> en,Q15727164,-1.79472017288208
6,2004,2010,LOC,Heaven >> en,Q4489450,-0.2492818832397461
7,29,37,LOC,Florence >> en,Q2044,-0.16972574591636658
7,145,174,PER,Filippo Brunelleschi >> en,Q174330,-0.3676729202270508
7,164,174,PER,Filippo Lippi >> en,Q205148,-1.5110470056533813
7,209,215,PER,Cambio >> en,Q1028149,-0.6430066823959351
7,303,328,PER,Brunelleschi >> en,Q174330,-2.6058921813964844
7,334,349,PER,Filippo Brunelleschi >> en,Q174330,-0.4015568494796753
7,424,429,ORG,Spini >> en,Q1087553,-1.0785223245620728
7,578,597,LOC,San Michele a Ripa >> en,Q3685181,-1.8343852758407593
7,619,636,LOC,Piazza dei Miracoli >> en,Q750245,-1.9248442649841309
7,774,781,PER,Filippo Brunelleschi >> en,Q174330,-0.1253674328327179
7,1224,1239,PER,Filippo Brunelleschi >> en,Q174330,-0.1455044150352478
7,1628,1635,PER,Filippo Brunelleschi >> en,Q174330,-0.11915260553359985
7,1950,1970,LOC,Basilica of San Giacomo Maggiore >> en,Q2446870,-2.6587002277374268
7,1963,1970,LOC,Pistoia >> en,Q13376,-0.20698921382427216
7,2046,2062,ORG,"Orders, decorations, and medals of Italy >> en",Q7100734,-1.452150583267212
8,11,28,MISC,Siege of Florence (1529–30) >> en,Q981042,-0.34464436769485474
8,20,28,LOC,Florence >> en,Q2044,-0.18169699609279633
8,493,507,LOC,Porta a Faenza >> it,Q3908872,-1.3123300075531006
8,518,537,PER,Giuliano Bugiardini >> en,Q2578459,-0.00047901272773742676
8,716,762,LOC,"San Marco, Florence >> en",Q1152774,-0.8115705251693726
8,730,736,ORG,House of Medici >> en,Q170022,-0.16019590198993683
8,744,762,LOC,"Piazza San Marco, Florence >> en",Q3382259,-0.40881773829460144
8,823,831,PER,Bertoldo >> en,Q3638934,-0.7936380505561829
8,884,907,PER,Michelangelo >> en,Q5592,-0.6515643000602722
8,937,947,PER,Buonarroti >> en,Q21507056,-0.7119895219802856
8,971,983,PER,Michelangelo >> en,Q5592,-0.7450228929519653
8,1036,1046,PER,Giuliano Bugiardini >> en,Q2578459,-0.5330726504325867
8,1161,1169,PER,Giuliano Bugiardini >> en,Q2578459,-0.6301119327545166
8,1312,1322,PER,Buonarroti >> en,Q21507056,-0.6269730925559998
8,1480,1488,PER,Giuliano Bugiardini >> en,Q2578459,-0.5047615766525269
8,1656,1668,PER,Michelangelo >> en,Q5592,-0.967568576335907
8,1823,1831,PER,Giuliano Bugiardini >> en,Q2578459,-0.25513648986816406
8,1917,1927,PER,Buonarroti >> en,Q21507056,-0.8074721097946167
8,1932,1940,PER,Francesco Granacci >> en,Q717097,-0.16071723401546478
8,1948,1968,PER,Domenico Ghirlandaio >> en,Q191423,-0.06494645774364471
8,2017,2033,LOC,Santa Maria Novella >> en,Q51175,0.0597088485956192
9,0,8,PER,Giuliano de' Medici >> en,Q298877,-1.142445683479309
9,29,53,PER,Innocenzo Cybo >> en,Q1386991,0.1982351541519165
9,85,104,PER,Raffaello da Urbino >> en,Q5597,0.3341520130634308
9,139,147,PER,Pope Leo I >> en,Q43954,-0.7036086916923523
9,149,175,PER,Pope Clement VII >> en,Q83159,-0.21233299374580383
9,181,199,PER,Giovanni Battista de Rossi >> en,Q699662,-0.3484615683555603
9,217,235,PER,Giovanni Battista de Rossi >> en,Q699662,-0.329473614692688
9,259,272,PER,Innocenzo Cybo >> en,Q1386991,-0.5803159475326538
9,430,445,PER,Guasconi >> it,Q16562230,-3.659402370452881
9,517,539,LOC,Baccio Valori >> it,Q3181432,-2.803697109222412
9,526,539,PER,Baccio Valori >> it,Q3181432,-0.7781121730804443
9,544,559,LOC,Olmo >> en,Q402678,-2.3396358489990234
10,769,784,PER,Marco Calabrese >> en,Q2559941,-3.369642734527588
10,872,878,LOC,Naples >> en,Q2634,-0.182948499917984
10,943,947,LOC,Rome >> en,Q220,-0.23902282118797302
10,1036,1041,PER,Siren (mythology) >> en,Q150986,-0.22186711430549622
10,1145,1151,LOC,Sebeto >> en,Q3953836,-0.3221192955970764
10,1257,1263,LOC,Heaven >> en,Q4489450,-0.22421154379844666
10,1295,1300,PER,Marco >> en,Q397013,-2.412191152572632
10,1516,1522,LOC,Aversa >> en,Q19279,-0.17976903915405273
10,1547,1553,LOC,Naples >> en,Q2634,-0.18156971037387848
10,1623,1644,LOC,"Sant'Agostino, Rome >> en",Q1424095,-0.4572829306125641
10,1756,1768,PER,Augustine of Hippo >> en,Q8018,-0.13928736746311188
10,1814,1820,PER,Jesus >> en,Q302,0.0619339644908905
10,1825,1831,PER,Saint >> en,Q43115,-0.29058095812797546
11,24,31,PER,Nicola >> en,Q727811,-2.4581215381622314
11,61,87,PER,Niccolò da Bologna >> en,Q1769484,-3.924757480621338
11,80,87,LOC,Matrice >> en,Q277684,-0.6591591238975525
11,116,124,LOC,Calabria >> en,Q1458,-0.1591084748506546
11,129,135,LOC,Ascoli Piceno >> en,Q6624,-0.20487117767333984
11,144,150,LOC,Norcia >> en,Q20494,-0.18816721439361572
11,393,399,LOC,Ascoli Piceno >> en,Q6624,-0.20285502076148987
11,455,459,PER,Cola >> en,Q134041,-0.8679983615875244
11,483,487,LOC,Rome >> en,Q220,-0.2481754720211029
11,533,539,LOC,Ascoli Piceno >> en,Q6624,-0.20708352327346802
11,726,732,LOC,Ascoli Piceno >> en,Q6624,-0.20395252108573914
11,749,762,PER,Pope Paul III >> en,Q133001,-0.19685932993888855
11,1288,1294,LOC,Ascoli Piceno >> en,Q6624,-0.20562121272087097
11,1367,1379,PER,Niccolò di Pietro >> en,Q4320785,-4.60284948348999
11,1456,1481,PER,Alessandro Vitelli >> en,Q621395,0.24080559611320496
11,1506,1513,LOC,Matrice >> en,Q277684,-0.3784117102622986
11,1524,1536,PER,Niccolò di Pietro >> en,Q4320785,-4.358354568481445
11,1557,1574,LOC,Città di Castello >> en,Q20413,-0.16288864612579346
11,1687,1699,PER,Niccolò di Pietro >> en,Q4320785,-4.014580726623535
11,1731,1738,LOC,Matrice >> en,Q277684,-0.38938578963279724
12,6,15,PER,Giorgione >> en,Q8459,-0.16279958188533783
12,20,29,PER,Antonio da Correggio >> en,Q8457,-0.007407486438751221
12,98,106,LOC,Lombardy >> en,Q1210,-0.22108101844787598
12,108,115,LOC,Tuscany >> en,Q1273,-0.22389069199562073
12,214,219,PER,Piero di Cosimo >> en,Q280851,-0.5191465616226196
12,236,243,PER,Lorenzo di Cosimo de' Medici >> en,Q177854,-0.2731081247329712
12,273,288,PER,Cosimo Rosselli >> en,Q29447,-0.14994260668754578
12,322,337,PER,Piero di Cosimo >> en,Q280851,-0.22663478553295135
12,731,737,PER,Cosimo >> en,Q1136046,-0.5617570281028748
12,1075,1081,PER,Cosimo >> en,Q1136046,-0.5771703720092773
12,1597,1603,PER,"Cosimo I de' Medici, Grand Duke of Tuscany >> en",Q48547,-0.6319277882575989
12,1775,1780,PER,Piero di Cosimo >> en,Q280851,-0.2110506147146225
13,40,45,PER,Piero di Cosimo de' Medici >> en,Q299663,-0.7023684978485107
13,94,122,LOC,Servite Order >> en,Q615923,-0.65394127368927
13,108,122,ORG,Servite Order >> en,Q615923,-0.23369227349758148
13,131,152,LOC,San Filippo Neri >> en,Q217791,-2.5736465454101562
13,145,152,ORG,Tedaldo >> en,Q7693924,-1.0934476852416992
13,200,210,PER,Philip the Apostle >> en,Q43675,-0.5473551154136658
13,231,236,ORG,Holy orders >> en,Q662862,-1.16798734664917
13,258,266,PER,"Mary, mother of Jesus >> en",Q345,-0.3697255253791809
13,346,352,LOC,Heaven >> en,Q4489450,-0.24137002229690552
13,395,398,PER,Jesus >> en,Q302,-0.6094183921813965
13,421,432,PER,Holy Spirit >> en,Q37302,-0.21497255563735962
13,512,516,PER,Columbidae >> en,Q10856,-0.3388119339942932
13,583,594,PER,Margaret the Virgin >> en,Q297742,-0.15270718932151794
13,601,613,PER,Catherine of Alexandria >> en,Q179718,-0.3766316771507263
13,658,666,PER,Saint Peter >> en,Q33923,-0.16912463307380676
13,671,693,PER,John the Evangelist >> en,Q328804,-0.1520947813987732
13,741,751,PER,Philip the Apostle >> en,Q43675,-0.5271384716033936
13,757,770,PER,Servite Order >> en,Q615923,-0.1763221025466919
13,757,764,ORG,Servite Order >> en,Q615923,-0.149346262216568
13,776,787,PER,Antoninus of Florence >> en,Q773822,-0.37959837913513184
13,789,799,PER,Archbishop >> en,Q49476,-0.22587233781814575
13,803,811,LOC,Florence >> en,Q2044,-0.17949974536895752
13,1124,1129,PER,Piero di Cosimo de' Medici >> en,Q299663,-0.7511539459228516
13,1273,1284,PER,Margaret the Virgin >> en,Q297742,-0.1440632939338684
13,1315,1321,PER,Dragon >> en,Q7559,-0.3755790889263153
13,1747,1778,PER,Giuliano de' Medici >> en,Q298877,-0.2716437876224518
13,1877,1883,LOC,Nature >> en,Q7860,-0.18684637546539307
13,1994,2016,PER,Cosimo de' Medici >> en,Q48544,-0.2447757124900818
13,2061,2066,PER,Piero di Cosimo de' Medici >> en,Q299663,-0.5312248468399048
13,2240,2257,PER,Cosimo Bartoli >> en,Q1136048,0.07860863208770752
13,2270,2281,LOC,San Giovanni in Laterano >> en,Q84090,-0.25707459449768066
14,23,27,LOC,Rome >> en,Q220,-0.2420615255832672
14,83,115,PER,Girolamo Siciolante da Sermoneta >> en,Q2296884,0.08468613028526306
14,106,115,LOC,Sermoneta >> en,Q128202,-0.21099108457565308
14,174,189,PER,Perino del Vaga >> en,Q918778,0.2000690996646881
14,244,260,LOC,Castel Sant'Angelo >> en,Q486382,-0.29794326424598694
14,420,428,PER,San Girolamo >> en,Q3846621,-0.633112907409668
14,552,571,LOC,San Stefano al Monte Celio >> en,Q919456,-0.3704906702041626
14,597,606,LOC,Sermoneta >> en,Q128202,-0.10010777413845062
14,636,644,PER,Saint Peter >> en,Q33923,-0.2737618684768677
14,646,656,PER,Saint Stephen >> en,Q161775,-0.26080435514450073
14,662,681,PER,John the Baptist >> en,Q40662,-0.4072558581829071
14,774,795,LOC,"Santi Apostoli, Rome >> en",Q1515300,-0.5102294087409973
14,800,804,LOC,Rome >> en,Q220,-0.2473488301038742
14,838,849,PER,Dead Christ >> en,Q27795958,-0.888776957988739
14,843,849,PER,Christ >> en,Q302,0.09012600779533386
14,851,859,PER,Veneration of Mary in the Catholic Church >> en,Q1938795,-0.5018777847290039
14,861,869,PER,John the Apostle >> en,Q44015,-0.5288304686546326
14,874,883,PER,Mary Magdalene >> en,Q63070,-0.0611577033996582
14,945,949,LOC,Pace (transit) >> en,Q3360030,-0.383301317691803
14,977,991,PER,Cesi >> en,Q546504,-2.1647257804870605
14,1119,1143,MISC,Nativity of Jesus >> en,Q51628,-0.17389290034770966
14,1131,1143,PER,Jesus >> en,Q302,-0.1333695650100708
14,1149,1170,MISC,Adoration of the Magi >> en,Q488841,-0.2533862590789795
14,1166,1170,PER,Magi >> en,Q876933,-0.30555006861686707
14,1176,1193,MISC,Flight into Egypt >> en,Q837143,-0.049406230449676514
14,1188,1193,LOC,Egypt >> en,Q79,-0.21702013909816742
14,1203,1228,MISC,Massacre of the Innocents >> en,Q643474,-0.22241786122322083
14,1374,1382,PER,Girolamo Siciolante da Sermoneta >> en,Q2296884,-0.10041067004203796
14,1465,1489,MISC,Nativity of Jesus >> en,Q51628,-0.1844358593225479
14,1477,1489,PER,Jesus >> en,Q302,-0.14037634432315826
14,1566,1610,LOC,Santo Spirito in Sassia >> en,Q1428488,-1.2257345914840698
14,1582,1610,LOC,Spirito Santo >> en,Q404269,-0.5787239670753479
14,1606,1610,LOC,Rome >> en,Q220,-0.2276267558336258
14,1616,1660,MISC,Pentecost >> en,Q39864,-0.4293721914291382
14,1631,1642,MISC,Holy Spirit >> en,Q37302,-0.21804754436016083
14,1652,1660,PER,Apostles >> en,Q43412,-0.21724408864974976
14,1716,1743,LOC,Santa Maria dell'Anima >> en,Q2140145,-0.4632434844970703
14,1763,1776,ORG,German colonial empire >> en,Q329618,-1.0088330507278442
14,1816,1843,LOC,Fugger family >> en,Q155834,-0.6913026571273804
14,1830,1843,ORG,Fugger >> en,Q155834,-0.10223240405321121
14,1856,1869,PER,Giulio Romano >> en,Q215305,-0.16717535257339478
14,1935,1943,PER,Veneration of Mary in the Catholic Church >> en,Q1938795,-0.49759480357170105
14,1967,1992,LOC,San Giacomo degli Spagnuoli >> en,Q1649784,0.10664433240890503
14,2044,2063,MISC,Crucifixion of Jesus >> en,Q51636,-0.6581209897994995
14,2044,2050,PER,Christ >> en,Q302,0.090861976146698
14,2058,2063,MISC,Christian cross >> en,Q392371,-0.39439523220062256
14,2074,2080,PER,Angel >> en,Q235113,-0.30138084292411804
14,2092,2100,PER,"Mary, mother of Jesus >> en",Q345,-1.2255299091339111
14,2106,2113,PER,John the Apostle >> en,Q44015,-0.5099007487297058
14,2233,2253,PER,James the Great >> en,Q43999,-0.15642014145851135
14,2258,2279,PER,Alfonso Maria de' Liguori >> en,Q273334,-0.9476534128189087
15,3,19,PER,Jacopo del Conte >> en,Q2538308,-0.11818403005599976
15,72,76,LOC,Rome >> en,Q220,-0.2702000141143799
15,198,204,PER,Jacopo del Conte >> en,Q2538308,-0.4835553765296936
15,447,451,LOC,Rome >> en,Q220,-0.268015593290329
15,625,638,PER,Pope Paul III >> en,Q133001,-0.19096654653549194
15,729,734,PER,Royal court >> en,Q1134237,-0.6050806045532227
15,801,808,ORG,Colonna family >> en,Q327202,0.1906367540359497
15,820,826,ORG,Orsini family >> en,Q855303,-0.2840440273284912
