id,start_pos,end_pos,type,surface,wb_id,has_nested,is_nested,named_entity
15,395,398,PER,Son,Q302,,,1

15,421,432,MISC,Holy Spirit,Q37302,,,1

15,451,456,MISC,light,Q9128,,,

16,0,5,PER,Piero,Q280851,,,1

16,23,44,PER,elder Filippo Strozzi,Q323993,,,1

16,48,55,MISC,picture,Q478798,,,

16,68,75,MISC,figures,Q207961,,,

16,79,86,PER,Perseus,Q130832,,,1

16,98,107,PER,Andromeda,Q161582,,,1

16,117,124,MISC,Monster,Q276453,,,1

16,159,165,MISC,things,Q35120,,,

17,20,27,MISC,picture,Q478798,,,

17,46,51,MISC,Venus,Q47652,,,1

17,60,64,MISC,Mars,Q112,,,1

17,102,108,MISC,meadow,Q7777019,,,

17,117,124,MISC,flowers,Q506,,,

17,153,158,MISC,Loves,Q5011,,,1

17,210,216,MISC,helmet,Q173603,,,

17,218,225,MISC,armlets,Q6398218,,,

17,247,253,MISC,armour,Q20793164,,,

17,257,261,MISC,Mars,Q112,,,1

17,274,279,MISC,grove,Q1510380,,,

17,283,289,MISC,myrtle,Q165152,,,

17,298,303,MISC,Cupid,Q5011,,,1

17,324,330,MISC,rabbit,Q9394,,,

17,355,360,MISC,Doves,Q10856,,,1

17,364,369,MISC,Venus,Q47652,,,1

17,384,391,MISC,emblems,Q112110,,,

17,395,399,MISC,Love,Q5011,,,1

18,3,19,PER,Jacopo del Conte,Q2538308,,,1

18,72,76,LOC,Rome,Q220,,,1

18,131,137,MISC,places,Q17334923,,,

19,5,11,PER,Jacopo,Q2538308,,,1

19,194,208,MISC,altar-pictures,Q478798,,,

19,213,228,MISC,works in fresco,Q134194,,,

19,254,258,LOC,Rome,Q220,,,1

20,7,16,MISC,portraits,Q134307,,,

20,125,133,PER,Pontiffs,Q19546,,,1

20,160,173,PER,Pope Paul III,Q133001,,,1

20,206,211,MISC,lords,Q12826225,,,

20,216,227,MISC,ambassadors,Q121998,,,

20,264,269,MISC,Court,Q1134237,,,1

20,297,305,MISC,captains,Q19100,,,

20,327,343,ORG,house of Colonna,Q327202,,,1

20,355,361,ORG,Orsini,Q855303,,,1

20,363,383,PER,Signor Piero Strozzi,Q1346257,,,1

20,411,418,PER,Bishops,Q29182,,,1

20,420,429,PER,Cardinals,Q45722,,,1

20,447,455,MISC,prelates,Q725440,,,

20,460,465,MISC,lords,Q12826225,,,

20,488,502,MISC,men of letters,Q20826540,,,

20,513,527,MISC,men of quality,NIL,,,

20,565,569,MISC,fame,Q1519566,,,

20,571,577,MISC,honour,Q618779,,,

20,583,589,MISC,profit,Q2112073,,,

20,593,597,LOC,Rome,Q220,,,1

20,657,663,MISC,family,Q8436,,,

20,672,676,MISC,city,Q515,,,

21,61,71,PER,Pope Leo X,Q49237,,,1

21,99,103,MISC,city,Q515,,,

21,164,175,MISC,festivities,Q132241,,,

21,208,217,MISC,spectacle,Q224530,,,

21,232,238,MISC,arches,Q12277,,,

21,240,247,MISC,façades,Q183061,,,

21,249,256,MISC,temples,Q44539,,,

21,267,274,MISC,figures,Q207961,,,

21,286,293,MISC,statues,Q179700,,,

21,298,307,MISC,ornaments,Q335261,,,

21,446,450,MISC,city,Q515,,,

21,461,470,MISC,abundance,Q336019,,,

21,491,501,MISC,intellects,Q353284,,,

22,7,15,MISC,entrance,Q854429,,,

22,23,50,LOC,Porta di S. Piero Gattolini,Q3398708,1,,1

22,32,50,LOC,S. Piero Gattolini,Q3671588,,1,1

22,52,68,PER,Jacopo di Sandro,Q2538308,,,1

22,86,105,PER,Baccio da Montelupo,Q2245460,,,1

22,115,119,MISC,arch,Q12277,,,

22,144,150,MISC,scenes,Q88392887,,,

23,7,25,LOC,Piazza de' Signori,Q849846,,,1

23,27,34,PER,Antonio,Q357276,,,1

23,40,47,MISC,brother,Q10861465,,,

23,51,72,PER,Giuliano da San Gallo,Q312365,,,1

23,95,101,MISC,temple,Q44539,,,

23,107,124,PER,Baccio Bandinelli,Q358348,,,1

23,132,137,MISC,Giant,NIL,,,1

23,146,152,LOC,Loggia,Q839746,,,1

24,55,61,MISC,façade,Q183061,,,

24,65,83,LOC,S. Maria del Fiore,Q191739,,,1

24,93,97,MISC,wood,Q4421,,,

24,134,140,MISC,scenes,Q88392887,,,

24,144,155,MISC,chiaroscuro,Q219540,,,

24,163,169,PER,Andrea,Q5571,,,1

25,41,48,MISC,masters,Q19968968,,,

25,75,83,LOC,Florence,Q2044,,,1

25,107,114,LOC,Tuscany,Q1273,,,1

25,137,146,MISC,craftsmen,NIL,,,

25,150,156,MISC,design,Q82604,,,

25,160,168,LOC,Florence,Q2044,,,1

25,177,184,PER,Filippo,Q174330,,,1

25,199,203,LOC,Rome,Q220,,,1

25,243,258,ORG,Office of Works,NIL,,,1

25,262,281,LOC,"S. Maria del Fiore,",Q191739,,,1

25,305,312,PER,Consuls,Q3687433,,,1

25,324,331,PER,Wardens,NIL,,,1

25,356,360,MISC,body,NIL,,,

25,383,391,MISC,citizens,Q2472587,,,

25,443,449,MISC,master,Q19968968,,,

25,512,519,MISC,tribune,Q17143038,,,

26,17,22,MISC,model,Q4610556,,,

26,43,63,WORK_OF_ART,Temple of the Angeli,Q19947673,,,1

26,73,94,ORG,family of the Scolari,NIL,,,1

26,186,197,PER,Florentines,NIL,,,1

26,208,213,MISC,money,Q1368,,,

26,231,236,LOC,Monte,NIL,,,1

26,287,291,MISC,city,Q515,,,

26,358,373,PER,people of Lucca,NIL,1,,1

26,368,373,LOC,Lucca,Q13373,,1,1

26,403,408,MISC,money,Q1368,,,

26,446,463,PER,Niccolò da Uzzano,Q1984751,,,1

26,481,489,LOC,Sapienza,NIL,,,1

26,535,540,MISC,place,Q17334923,,,

27,22,42,WORK_OF_ART,Temple of the Angeli,Q19947673,,,1

27,78,83,MISC,model,Q4610556,,,

27,87,98,PER,Brunellesco,Q174330,,,1

27,147,152,LOC,Italy,Q38,,,1

28,21,28,LOC,Bologna,Q1891,,,1

28,65,81,PER,Dominican friars,Q131479,,,1

28,97,100,MISC,oil,Q22656,,,

28,103,124,LOC,chapel in S. Domenico,Q862602,1,,1

28,113,124,LOC,S. Domenico,Q44091,,1,1

28,137,141,MISC,fame,Q1519566,,,

28,171,177,MISC,credit,Q182076,,,

29,27,35,MISC,pictures,Q478798,,,

29,49,67,LOC,S. Maria del Monte,Q34598751,,,1

29,71,75,MISC,seat,Q470540,,,

29,83,95,ORG,Black Friars,Q131132,,,1

29,104,111,LOC,Bologna,Q1891,,,1

29,124,143,LOC,Porta di S. Mammolo,Q3908797,,,1

29,159,186,LOC,church of the Casa di Mezzo,NIL,1,,1

29,173,186,LOC,Casa di Mezzo,NIL,,1,1

29,200,204,MISC,road,Q34442,,,

29,234,238,MISC,hand,Q33767,,,

29,244,259,MISC,works in fresco,Q134194,,,

29,286,293,MISC,stories,Q1318295,,,

29,301,314,MISC,Old Testament,Q3908797,,,1

30,15,27,PER,Pope Paul II,Q102605,,,1

30,33,64,LOC,Church of the Madonna of Loreto,Q654996,1,,1

30,47,54,PER,Madonna,Q345,,1,1

30,58,64,LOC,Loreto,Q124110,,1,1

30,117,122,MISC,brick,Q40089,,,

30,123,128,MISC,piers,Q335297,,,

30,139,143,MISC,work,Q6958747,,,

30,249,254,MISC,skill,Q205961,,,

30,259,265,MISC,genius,Q185030,,,

30,269,287,PER,Giuliano da Maiano,Q716519,,,1

30,355,364,PER,Sixtus IV,Q163514,,,1

30,429,436,PER,Clement,Q83159,,,1

30,566,572,MISC,arches,Q12277,,,

30,580,587,MISC,tribune,Q17143038,,,

30,618,624,MISC,church,Q16970,,,

30,633,639,MISC,places,Q17334923,,,

30,665,676,MISC,foundations,Q191360,,,

31,10,17,PER,Antonio,Q357276,,,1

31,39,51,PER,Pope Clement,Q83159,,,1

31,76,84,MISC,mischief,,,,

31,113,119,LOC,Loreto,Q124110,,,1

31,137,143,MISC,arches,,,,

31,202,211,MISC,architect,,,,

31,246,254,MISC,building,,,,

31,272,277,MISC,walls,,,,

31,282,291,MISC,pilasters,,,,

31,348,352,MISC,form,,,,

31,399,404,MISC,parts,,,,

31,458,464,MISC,weight,,,,

32,0,12,PER,Fra Giocondo,Q5585,,,1

32,35,42,MISC,scholar,,,,

32,54,63,MISC,architect,,,,

32,82,88,MISC,master,,,,

32,92,103,MISC,perspective,,,,

32,145,163,PER,Emperor Maximilian,Q150726,,,1

32,173,179,MISC,master,,,,

32,187,192,MISC,Greek,Q9129,,,1

32,197,203,MISC,Latin ,,,,

32,203,210,MISC,tongues,,,,

32,226,234,PER,Scaliger,Q441066,,,1

32,299,306,MISC,matters,,,,

32,323,331,MISC,subtlety,,,,

32,348,358,PER,Maximilian,Q150726,,,1

33,17,24,MISC,persons,,,,

33,98,104,LOC,Verona,Q2028,,,1

33,119,124,MISC,power,,,,

33,133,140,PER,Emperor,Q39018,,,1

33,145,151,MISC,bridge,,,,

33,172,190,LOC,Ponte della Pietra,Q540546,,,1

33,200,204,MISC,city,,,,

33,273,285,MISC,central pier,,,,

33,340,352,PER,Fra Giocondo,Q5585,,,1

33,362,368,MISC,design,,,,

34,4,13,MISC,disciples,,,,

34,19,31,PER,Taddeo Gaddi,Q315835,,,1

34,48,55,MISC,baptism,,,,

34,79,93,PER,Puccio Capanna,Q1383075,,,1

34,97,105,LOC,Florence,Q2044,,,1

34,123,129,LOC,Rimini,Q13369,,,1

34,137,157,LOC,Church of S. Cataldo,Q111080952,1,,1

34,147,157,PER,S. Cataldo,Q1050218,,1,1

34,176,192,ORG,Preaching Friars,Q131479,,,1

34,215,221,MISC,fresco,,,,

34,226,230,MISC,hull,,,,

34,236,240,MISC,ship,,,,

34,276,279,MISC,sea,,,,

34,286,289,MISC,men,,,,

34,307,313,MISC,things,,,,

34,323,326,MISC,sea,,,,

34,343,349,PER,Puccio,Q1383075,,,1

34,401,409,MISC,mariners,,,,

35,9,12,MISC,man,,,,

35,26,31,MISC,works,,,,

35,42,47,MISC,death,,,,

35,51,57,PER,Giotto,Q7814,,,1

35,65,97,LOC,Church of S. Francesco at Assisi,Q207486,1,,1

35,75,87,PER,S. Francesco,Q676555,,1,1

35,91,97,LOC,Assisi,Q20103,,1,1

35,110,142,LOC,Church of S. Trinita in Florence,Q1062114,1,,1

35,134,142,LOC,Florence,Q2044,,,1

35,197,218,LOC,Chapel of the Strozzi,Q3657519,,,1

35,211,218,ORG,Strozzi,Q1151399,,,1

35,231,260,WORK_OF_ART,the Coronation of the Madonna,NIL,1,,1

35,235,260,MISC,Coronation of the Madonna,Q1093370,,1,1

35,264,270,MISC,fresco,,,,

35,279,284,MISC,choir,,,,

35,288,294,MISC,angels,,,,

35,323,329,MISC,manner,,,,

35,333,339,PER,Giotto,Q7814,,,1

35,352,357,MISC,sides,,,,

35,362,369,MISC,stories,,,,

35,373,381,PER,S. Lucia,Q183240,,,1

36,0,8,PER,Giovanni,Q2749321,,,1

36,26,45,LOC,Chapel of the Scali,NIL,,,1

36,49,71,LOC,S. Trinita in Florence,Q1062114,1,,1

36,63,71,LOC,Florence,Q2044,,1,1

36,120,127,MISC,stories,,,,

36,131,138,PER,S. Paul,Q9200,,,1

36,168,174,MISC,chapel,,,,

36,189,210,MISC,tomb of Maestro Paolo,NIL,1,,1

36,197,210,PER,Maestro Paolo,Q1168587,,1,1

36,216,226,MISC,astrologer,,,,

37,3,30,LOC,S. Stefano al Ponte Vecchio,Q3674332,1,,1

37,17,30,LOC,Ponte Vecchio,Q208633,,1,1

37,44,49,MISC,panel,,,,

37,62,70,MISC,pictures,,,,

37,74,83,MISC,distemper,,,,

37,91,97,MISC,fresco,,,,

37,122,130,LOC,Florence,Q2044,,,1

38,0,18,PER,Francesco Granacci,Q717097,,,1

38,92,122,PER,Magnificent Lorenzo de' Medici,Q177854,,,1

38,139,145,MISC,garden,,,,

38,210,216,MISC,genius,,,,

38,220,232,PER,Michelagnolo,Q5592,,,1

38,257,263,MISC,fruits,,,,

38,348,352,MISC,side,,,,

38,386,395,MISC,attention,,,,

38,400,408,MISC,humility,,,,

38,443,448,MISC,brain,,,,

38,464,476,PER,Michelagnolo,Q5592,,,1

38,529,536,MISC,friends,,,,

38,644,649,MISC,works,,,,

38,682,685,MISC,art,,,,

38,710,718,PER,Granacci,Q717097,,,1

39,53,61,MISC,workshop,,,,

39,65,85,PER,Domenico Ghirlandajo,Q191423,,,1

39,108,116,PER,Granacci,Q191423,,,1

39,156,167,PER,Ghirlandajo,Q191423,,,1

39,176,179,MISC,men,,,,

39,195,206,MISC,draughtsman,,,,

39,254,263,MISC,distemper,,,,

39,274,279,PER,David,Q1145811,,,1

39,284,305,PER,Benedetto Ghirlandajo,Q2554861,,,1

39,311,319,MISC,brothers,,,,

39,323,331,PER,Domenico,Q191423,,,1

39,347,358,MISC,altar-piece,,,,

39,366,376,MISC,high-altar,,,,

39,380,396,LOC,S. Maria Novella,Q51175,,,1

39,436,441,MISC,death,,,,

39,454,462,PER,Domenico,Q191423,,,1

40,0,6,PER,Jacopo,Q2538308,,,1

40,32,36,LOC,Rome,Q220,,,1

40,85,89,LOC,Rome,Q220,,,1

41,21,25,MISC,city,,,,

41,40,46,MISC,chapel,,,,

41,83,104,LOC,Church of S. Agostino,Q1424095,,,1

41,112,116,MISC,door,,,,

41,124,130,MISC,façade,,,,

41,157,163,MISC,chapel,,,,

41,172,180,PER,Apostles,Q4155679,,,1

41,195,206,PER,Holy Spirit,Q37302,,,1

41,219,223,MISC,wall,,,,

41,238,245,MISC,stories,,,,

41,249,255,PER,Christ,Q302,,,1

41,274,279,PER,Peter,Q33923,,,1

41,284,290,PER,Andrew,Q43399,,,1

41,325,361,MISC,the Feast of Simon and the Magdalene,,,,

41,338,343,PER,Simon,NIL,,1,1

41,352,361,PER,Magdalene,,,1,1

41,383,390,MISC,ceiling,,,,

41,394,400,MISC,planks,,,,

41,405,410,MISC,beams,,,,

42,7,12,MISC,panel,,,,

42,25,31,MISC,chapel,,,,

42,53,56,MISC,oil,,,,

42,61,74,WORK_OF_ART,a Dead Christ,NIL,1,,1

42,68,74,PER,Christ,Q302,,1,1

42,107,114,MISC,mastery,,,,

42,119,128,MISC,diligence,,,,

43,3,15,PER,Leon Batista,Q182046,,,1

43,23,49,PER,Giovanni di Paolo Rucellai,Q3768494,,,1

43,35,49,PER,Paolo Rucellai,,,,

43,80,86,MISC,façade,,,,

43,90,106,LOC,S. Maria Novella,Q51175,,,1

43,119,125,MISC,marble,,,,

43,137,144,MISC,expense,,,,

43,170,182,PER,Leon Batista,Q182046,,,1

43,206,212,MISC,friend,,,,

43,252,259,MISC,counsel,,,,

43,276,281,MISC,model,,,,

43,283,291,PER,Giovanni,Q3768494,,,1

43,334,339,MISC,costs,,,,

43,378,386,MISC,memorial,,,,

44,88,100,MISC,satisfaction,,,,

44,112,116,MISC,city,,,,

44,151,155,MISC,work,,,,

44,183,187,MISC,door,,,,

44,216,228,PER,Leon Batista,Q182046,,,1

44,253,258,MISC,pains,,,,

45,4,19,PER,Cosimo Rucellai,Q92078306,,,1

45,43,49,MISC,design,,,,

45,58,64,MISC,palace,,,,

45,93,99,MISC,street,,,,

45,116,124,LOC,La Vigna,NIL,,,1

45,143,149,MISC,loggia,,,,

46,13,25,PER,Michelagnolo,Q5592,,,1

46,48,55,MISC,statues,,,,

46,102,106,PER,Pope,Q19546,,,1

46,124,128,MISC,head,,,,

46,150,156,MISC,person,,,,

46,185,190,MISC,walls,,,,

46,198,214,LOC,Chapel of Sixtus,Q2943,1,,1

46,230,242,PER,Michelagnolo,Q5592,,,1

46,259,267,MISC,vaulting,,,,

46,272,281,PER,Julius II,Q80516,,,1

46,287,293,MISC,nephew,,,,

47,17,21,MISC,wall,,,,

47,33,38,MISC,altar,,,,

47,43,50,PER,Clement,Q83159,,,1

47,71,93,MISC,the Universal Judgment,Q1821239,,,1

47,136,141,MISC,scene,,,,

47,155,158,MISC,art,,,,

47,162,168,MISC,design,,,,

47,242,246,MISC,door,,,,

47,291,296,MISC,scene,,,,

47,302,309,MISC,Lucifer,Q6674,,,1

47,331,336,MISC,pride,,,,

47,342,348,MISC,Heaven,Q4489450,,,1

47,364,370,MISC,Angels,Q235113,,,1

47,422,428,MISC,centre,,,,

47,432,436,MISC,Hell,Q564,,,1

47,476,488,PER,Michelagnolo,Q5592,,,1

47,524,532,MISC,sketches,,,,

47,537,544,MISC,designs,,,,

47,604,633,LOC,Church of the Trinità at Rome,Q1229008,1,,1

47,629,633,LOC,Rome,Q220,,1,1

47,648,655,MISC,painter,,,,

47,685,697,PER,Michelagnolo,Q5592,,,1

47,729,736,MISC,colours,,,,

48,5,9,MISC,work,,,,

48,22,28,MISC,fresco,,,,

48,40,61,LOC,Chapel of S. Gregorio,Q748459,,,1

48,70,75,MISC,cross,,,,

48,83,89,MISC,church,,,,

48,167,172,MISC,force,,,,

48,180,189,MISC,attitudes,,,,

48,194,200,MISC,groups,,,,

48,210,215,MISC,nudes,,,,

48,243,249,MISC,Heaven,Q4489450,,,1

48,297,303,MISC,centre,,,,

48,311,316,MISC,earth,,,,

48,343,348,MISC,forms,,,,

48,352,358,MISC,Devils,Q6674,,,1

48,424,431,MISC,fantasy,,,,

49,11,16,MISC,niche,,,,

49,47,53,MISC,saints,,,,

49,57,63,MISC,marble,,,,

49,80,85,PER,Nanni,Q465917,,,1

49,118,157,ORG,"Guild of Smiths, Carpenters, and Masons",NIL,,,1

49,273,278,MISC,niche,,,,

49,406,410,MISC,arms,,,,

49,446,452,PER,Donato,Q37562,,,1

49,457,462,MISC,grief,,,,

49,467,474,MISC,despair,,,,

49,496,503,MISC,counsel,,,,

49,522,532,MISC,misfortune,,,,

49,545,554,MISC,foresight,,,,

50,0,5,PER,Palma,Q9342,,,1

50,39,47,MISC,patience,,,,

50,76,83,MISC,colours,,,,

50,93,101,MISC,boldness,,,,

50,105,111,MISC,design,,,,

50,128,134,MISC,colour,,,,

50,154,159,MISC,grace,,,,

50,164,170,MISC,finish,,,,

51,20,26,LOC,Venice,Q641,,,1

51,37,45,MISC,pictures,,,,

51,50,59,MISC,portraits,,,,

51,89,98,MISC,gentlemen,,,,

51,201,213,MISC,altar-pieces,,,,

51,223,227,MISC,head,,,,

52,11,23,MISC,altar-pieces,,,,

52,39,49,LOC,S. Antonio,Q3672615,,,1

52,56,64,LOC,Castello,Q52425,,,1

52,69,75,LOC,Venice,Q641,,,1

52,93,101,LOC,S. Elena,Q3585397,,,1

52,112,116,LOC,Lido,Q226221,,,1

52,128,150,ORG,Monks of Monte Oliveto,Q572102,!,,1

52,137,150,LOC,Monte Oliveto,LOC,,1,1

52,162,171,MISC,monastery,,,,

53,0,26,PER,Parri di Spinello Spinelli,Q287934,,,1

53,9,26,PER,Spinello Spinelli,Q2718358,,1,1

53,28,35,MISC,painter,,,,

