id,start_pos,end_pos,label,alias,wb_id,score
10,328,336,PER,Leonardo da Vinci >> en,Q762,-0.21377331018447876
10,406,413,PER,Madonna (art) >> en,Q926743,-0.26395219564437866
10,526,542,PER,"Mary, mother of Jesus >> en",Q345,-0.4606688618659973
10,639,645,PER,"Mary, mother of Jesus >> en",Q345,-0.22830882668495178
10,707,710,PER,Jesus >> en,Q302,-0.8066045045852661
10,816,823,PER,John the Apostle >> en,Q44015,-1.2420369386672974
10,896,903,PER,Saint Anne >> en,Q164294,-0.26810401678085327
10,1027,1035,PER,Leonardo da Vinci >> en,Q762,-0.21270467340946198
11,0,8,PER,Leonardo da Vinci >> en,Q762,-0.19344624876976013
11,35,57,PER,Francesco del Giocondo >> en,Q1395822,0.016317754983901978
11,75,85,PER,Mona Lisa >> en,Q12418,-0.6810070872306824
11,230,243,LOC,Palace of Fontainebleau >> en,Q201428,-0.1648865044116974
12,11,15,LOC,Rome >> en,Q220,-0.2274637520313263
13,10,18,PER,Leonardo da Vinci >> en,Q762,-0.17444807291030884
13,77,90,LOC,Papal household >> en,Q1510907,-2.2949724197387695
13,108,124,LOC,Santa Maria Novella >> en,Q51175,0.10688027739524841
13,152,169,PER,Niccolò Piccinino >> en,Q979543,0.19269336760044098
15,31,44,PER,Marco d'Oggiono >> en,Q982274,-1.7542474269866943
15,62,81,LOC,Santa Maria della Pace >> en,Q1514683,-0.06137193739414215
15,87,106,MISC,Veneration of Mary in the Catholic Church >> en,Q1938795,-2.0192227363586426
15,115,131,MISC,Marriage in Judaism >> en,Q4095768,-3.0240604877471924
15,135,142,LOC,Galilee >> en,Q83241,-0.18086573481559753
16,14,22,PER,Leonardo da Vinci >> en,Q762,-0.23323290050029755
16,27,52,PER,Giovanni Antonio Boltraffio >> en,Q442528,-0.05463801324367523
16,56,61,LOC,Milan >> en,Q490,-0.1302148699760437
16,166,192,LOC,Church of the Misericordia >> en,Q504580,-1.466325283050537
16,202,209,LOC,Bologna >> en,Q1891,-0.21419288218021393
16,238,261,PER,"Mary, mother of Jesus >> en",Q345,-0.5653435587882996
16,275,294,PER,John the Baptist >> en,Q40662,-0.10481256246566772
16,296,308,PER,Saint Sebastian >> en,Q183332,-0.19375845789909363
16,482,490,PER,Leonardo da Vinci >> en,Q762,-0.2710668444633484
17,44,51,PER,Cimabue >> en,Q15790,-0.1478104144334793
17,100,106,LOC,Assisi >> en,Q20103,-0.20162177085876465
17,118,124,LOC,Umbria >> en,Q1280,-0.1827075332403183
17,185,207,LOC,Basilica of Saint Francis of Assisi >> en,Q207486,0.23381513357162476
17,296,306,PER,Francis of Assisi >> en,Q676555,-0.0568617582321167
18,162,181,PER,John the Baptist >> en,Q40662,-0.1783854365348816
18,222,227,ORG,Religious order >> en,Q2061186,-0.8059888482093811
18,229,244,PER,San Michele in Isola >> en,Q1449262,-1.5208454132080078
18,250,261,PER,Bernard of Clairvaux >> en,Q188411,-0.3641098737716675
18,292,297,ORG,Holy orders >> en,Q662862,-0.871100664138794
18,103,114,LOC,Vallombrosa >> en,Q4008256,-0.17608249187469482
19,14,26,PER,Michelangelo >> en,Q5592,-0.9111930131912231
19,206,213,PER,Dionysus >> en,Q41680,-0.003655850887298584
20,65,76,LOC,"Piazza della Repubblica, Florence >> en",Q1283790,-2.624662160873413
20,80,88,LOC,Florence >> en,Q2044,-0.1740206778049469
20,112,119,MISC,Virtue >> en,Q157811,-0.20226694643497467
20,141,148,PER,Antonio del Pollaiolo >> en,Q318640,0.22053080797195435
20,153,173,PER,Piero del Pollaiolo >> en,Q707046,0.21923434734344482
21,23,33,LOC,"Ognissanti, Florence >> en",Q2778991,-0.16037805378437042
21,93,101,PER,Amerigo Vespucci >> en,Q47674,-0.3913595676422119
21,104,116,PER,Augustine of Hippo >> en,Q8018,-0.08253923058509827
21,231,251,PER,Domenico Ghirlandaio >> en,Q191423,-0.043432578444480896
21,268,277,PER,Jerome >> en,Q44248,-0.017385199666023254
21,358,363,PER,Saint >> en,Q43115,-0.21702836453914642
22,121,129,LOC,Castello >> en,Q416274,-0.9172471165657043
22,261,267,PER,Cupid >> en,Q5011,-0.18347607553005219
22,290,295,PER,Venus (mythology) >> en,Q47652,-0.22179889678955078
22,306,312,PER,Charites >> en,Q184353,-0.09773986041545868
23,84,90,PER,Pallas >> en,Q219027,-1.1929229497909546
23,197,209,PER,Saint Sebastian >> en,Q183332,-0.2102968543767929
24,3,20,LOC,Santa Maria Maggiore >> en,Q186282,-0.02999889850616455
24,24,32,LOC,Florence >> en,Q2044,-0.16098806262016296
24,45,70,LOC,"Santa Maria Maggiore, Florence >> en",Q849356,-1.6904391050338745
24,98,103,LOC,Pietà >> en,Q223689,-0.19150345027446747
25,20,25,PER,Pucci >> en,Q56244015,-0.2645799517631531
25,68,77,PER,Giovanni Boccaccio >> en,Q1402,-0.09692248702049255
26,13,19,PER,Sandro >> en,Q37192461,-1.8361679315567017
26,175,191,LOC,Santa Maria Novella >> en,Q51175,0.07974360883235931
26,273,294,MISC,Adoration of the Magi >> en,Q488841,-0.26774293184280396
26,373,381,PER,Jesus >> en,Q302,-0.49453750252723694
27,12,34,LOC,Cappella Capponi >> en,Q3657333,-0.38185152411460876
27,43,63,LOC,"Santo Spirito, Florence >> en",Q1519975,-0.7440637350082397
27,67,75,LOC,Florence >> en,Q2044,-0.1617317795753479
27,111,133,MISC,Visitation (Christianity) >> en,Q691810,-0.1983514130115509
27,140,151,PER,Saint Nicholas >> en,Q44269,-0.19133000075817108
27,159,169,PER,Anthony of Padua >> en,Q167477,-0.4219258427619934
28,40,45,PER,Piero della Francesca >> en,Q5822,-0.5747798681259155
28,131,152,LOC,"San Filippo Neri, Genoa >> en",Q3669990,-2.6872777938842773
28,200,210,PER,Philip the Apostle >> en,Q43675,-0.5406985878944397
28,231,236,MISC,Holy orders >> en,Q662862,-1.1017519235610962
28,258,266,PER,"Mary, mother of Jesus >> en",Q345,-0.4115263819694519
28,346,352,MISC,Heaven >> en,Q4489450,-0.2507368326187134
28,395,398,MISC,Jesus >> en,Q302,-0.5174437761306763
29,102,113,PER,Margaret the Virgin >> en,Q297742,-0.17118757963180542
29,144,150,PER,Dragon >> en,Q7559,-0.34418535232543945
30,0,5,PER,Piero della Francesca >> en,Q5822,-0.7612255215644836
30,79,86,PER,Perseus >> en,Q130832,-0.18234866857528687
30,98,107,PER,Andromeda (mythology) >> en,Q161582,-0.16740120947360992
30,117,124,PER,Monster >> en,Q276453,-0.4568600356578827
31,46,51,PER,Venus (mythology) >> en,Q47652,-0.20618319511413574
31,60,64,LOC,Mars (mythology) >> en,Q112,-0.16485804319381714
31,153,158,PER,Lovers (stock characters) >> en,Q6692423,-1.0794554948806763
31,257,261,LOC,Mars (mythology) >> en,Q112,-0.26190415024757385
31,298,303,PER,Cupid >> en,Q5011,-0.19286178052425385
31,395,399,MISC,Love >> en,Q316,-0.30279818177223206
32,4,21,PER,Giovanni Vespucci >> pt,Q17064119,-2.572360038757324
32,61,75,PER,Piero de' Medici >> en,Q2093000,-6.0428080558776855
32,89,99,LOC,San Michele in Isola >> en,Q1449262,-0.8681601285934448
32,108,121,LOC,Via dei Servi >> it,Q3556508,-0.08275943994522095
33,0,5,PER,Piero della Francesca >> en,Q5822,-0.6441431045532227
33,33,55,PER,Francesco da Sangallo >> en,Q2252502,-0.18222221732139587
33,126,131,PER,Piero della Francesca >> en,Q5822,-0.9022442698478699
33,147,156,PER,Francesco di Paola >> en,Q315640,-2.5599911212921143
33,189,194,PER,Piero della Francesca >> en,Q5822,-0.7752570509910583
33,245,254,PER,Cleopatra >> en,Q635,-0.21254612505435944
33,327,335,PER,Giuliano da San Gallo >> en,Q312365,-0.006221294403076172
33,370,389,PER,Francesco Giamberti >> it,Q3750041,-1.1635884046554565
