id,start_pos,end_pos,surface,wb_id,type,matched,match_type,kb-surface
5,242,247,libro,Q571,MISC,True,plain,
5,251,255,mano,Q33767,MISC,True,plain,
5,266,275,Figliuolo,Q942467,PER,False,,
5,289,294,testa,Q23640,MISC,True,plain,
5,298,303,cielo,Q527,MISC,True,plain,
5,325,338,Spirito Santo,Q37302,MISC,True,plain,
5,36,56,cappella de' Tedaldi,OOV,LOC,False,,
5,63,89,chiesa de' frati de' Servi,Q2287001,LOC,False,,
5,179,196,Nostra Donnaritta,Q345,PER,False,,
5,139,146,Filippo,Q141900,PER,False,,
5,151,156,frate,Q548320,MISC,True,plain,
6,11,19,Fiorenza,Q2044,LOC,True,plain,
6,26,32,quadri,Q3305213,MISC,True,normalized,quadro
6,39,48,cittadini,Q2472587,MISC,False,,
6,68,72,case,Q3947,MISC,True,plain,
6,122,126,cose,Q35120,MISC,False,,
6,141,148,persone,Q215627,MISC,True,plain,
6,158,193,chiesa di Santo Spirito di Fiorenza,Q1519975,LOC,False,,
6,206,230,cappella di Gino Capponi,Q3657333,LOC,False,,
6,235,241,tavola,Q55439,MISC,True,plain,
6,263,290,Visitazione di Nostra Donna,Q691810,MISC,False,,
6,296,307,San Nicolao,Q44269,PER,False,,
6,314,327,Santo Antonio,Q170547,PER,True,normalized,Saint Antonio
6,351,359,occhiali,Q37501,MISC,True,plain,
6,363,367,naso,Q7363,MISC,True,plain,
6,345,348,par,Q2570803,MISC,False,,
7,18,24,quadro,Q55439,MISC,False,,
7,35,41,Venere,Q47652,MISC,True,plain,
7,56,61,Marte,Q112,MISC,True,plain,
7,106,111,prato,Q7777019,MISC,True,plain,
7,120,125,fiori,Q506,MISC,True,plain,
7,150,155,Amori,Q5011,MISC,True,normalized,Amore
7,197,203,celata,Q397436,MISC,True,plain,
7,207,216,bracciali,Q689965,MISC,True,plain,
7,227,231,arme,Q20793164,MISC,False,,
7,235,240,Marte,Q112,MISC,True,plain,
7,250,255,bosco,Q3241565,MISC,True,plain,
7,259,264,mirto,Q165152,MISC,True,plain,
7,272,278,Cupido,Q5011,MISC,True,plain,
7,286,291,paura,Q44619,MISC,True,plain,
7,297,305,coniglio,Q9394,MISC,True,plain,
7,323,330,colombe,Q10856,MISC,True,plain,
7,334,340,Venere,Q47652,MISC,True,plain,
7,351,355,cose,Q35120,MISC,False,,
7,359,364,Amore,Q5011,MISC,True,plain,
8,11,26,Giovan Vespucci,Q17064119,PER,False,,
8,51,61,S. Michele,OOV,LOC,False,,
8,68,81,via de’ Servi,Q3556508,LOC,True,normalized,Via dei Servi
8,91,104,Pier Salviati,OOV,PER,False,,
8,154,160,camera,Q1906705,MISC,True,plain,
8,189,194,fauni,Q223194,MISC,True,plain,
8,196,202,satiri,Q163709,MISC,True,plain,
8,205,212,silvani,Q548445,MISC,True,plain,
8,216,221,putti,Q284865,MISC,True,plain,
8,224,232,baccanti,Q2878203,MISC,True,plain,
8,244,254,maraviglia,Q977433,MISC,False,,
8,267,276,diversità,Q36793538,MISC,False,,
8,281,286,zaini,Q1380786,MISC,False,,
8,295,300,vesti,Q11460,MISC,False,,
8,343,349,grazia,Q17148382,MISC,False,,
8,353,363,imitazione,Q1131737,MISC,True,plain,
8,307,314,varietà,Q36793538,MISC,False,,
8,113,119,storie,Q1185607,MISC,False,,
8,321,325,cere,Q1207505,MISC,False,,
9,8,13,Piero,Q3903143,PER,True,plain,
9,18,41,Filippo Strozzi Vecchio,Q323993,PER,True,normalized,Filippo Strozzi il Vecchio
9,79,85,Perseo,Q130832,PER,True,plain,
9,93,102,Andromeda,Q161582,PER,True,plain,
9,109,116,monstro,Q209489,MISC,False,,
9,139,143,cose,Q35120,MISC,False,,
9,56,62,figure,Q29527347,MISC,True,plain,
9,46,52,quadro,Q3305213,MISC,True,plain,
10,16,19,via,OOV,MISC,False,,
10,23,32,Ser Piero,Q371916,PER,True,plain,
10,37,40,zio,Q76557,MISC,True,plain,
10,51,63,fanciullezza,Q190007,MISC,False,,
10,68,72,arte,Q735,MISC,True,plain,
10,77,97,Andrea del Verocchio,Q183458,PER,True,plain,
10,121,127,tavola,Q55439,MISC,True,plain,
10,133,145,San Giovanni,Q40662,PER,True,plain,
10,157,163,Cristo,Q302,PER,True,plain,
10,165,173,Lionardo,Q762,PER,True,plain,
10,185,191,angelo,Q235113,MISC,True,plain,
10,211,216,vesti,Q11460,MISC,False,,
10,233,243,giovanetto,Q3010,MISC,False,,
10,264,271,maniera,Q367293,MISC,False,,
10,305,312,And rea,Q183458,PER,False,,
10,321,327,angelo,Q235113,MISC,True,plain,
10,331,339,Lionardo,Q762,PER,True,plain,
10,296,302,figure,Q29527347,MISC,True,plain,
11,23,31,portiera,Q5297203,MISC,False,,
11,56,63,Fiandra,Q234,LOC,True,plain,
11,66,69,oro,Q897,MISC,True,plain,
11,75,79,seta,Q37681,MISC,True,plain,
11,104,120,Re di Portogallo,Q51711012,PER,False,,
11,160,178,Paradiso terrestre,Q19014,LOC,True,plain,
11,197,205,pennello,Q614467,MISC,False,,
11,211,219,Lionardo,Q762,PER,True,plain,
11,223,237,chiaro e scuro,Q219540,MISC,True,normalized,chiaro scuro
11,262,267,prato,Q7777019,MISC,True,plain,
11,271,275,erbe,Q190903,MISC,True,plain,
11,296,303,animali,Q729,MISC,True,plain,
11,333,342,diligenza,Q1427962,MISC,True,plain,
11,345,355,naturalità,Q7949,MISC,False,,
11,359,364,mondo,Q1,MISC,True,plain,
11,365,379,divino ingegno,Q7501062,MISC,False,,
11,124,131,cartone,Q1416517,MISC,True,plain,
11,252,258,biacca,Q656004,MISC,True,plain,
11,134,147,Adamo e d'Èva,Q58701,PER,False,,
12,9,17,Lionardo,Q762,PER,True,plain,
12,22,34,Nostra Donna,Q345,PER,False,,
12,41,47,quadro,Q17537576,MISC,False,,
12,65,82,Papa Clemente VII,Q83159,PER,True,plain,
13,22,32,amicissimo,Q491,MISC,True,normalized,amico
13,48,54,foglio,Q196878,MISC,False,,
13,58,65,Nettuno,Q3954,MISC,True,plain,
13,83,90,disegno,Q93184,MISC,True,plain,
13,101,111,diligenzia,Q1427962,MISC,False,,
13,3,16,Antonio Segni,OOV,PER,False,,
14,15,21,Milano,Q490,LOC,True,plain,
14,26,47,frati di San Domenico,Q131479,ORG,False,,
14,50,74,Santa Maria de le Grazie,Q244952,LOC,True,normalized,Santa Maria delle Grazie
14,78,86,Cenacolo,Q318972,MISC,True,plain,
14,88,92,cosa,Q35120,MISC,False,,
14,128,133,teste,Q23640,MISC,True,plain,
14,141,149,Apostoli,Q4155679,PER,False,,
14,162,168,maestà,OOV,MISC,False,,
14,171,179,bellezza,Q7242,MISC,True,plain,
14,196,202,Cristo,Q302,PER,True,plain,
14,255,263,divinità,Q1379405,MISC,False,,
14,281,298,imagine di Cristo,Q16564599,MISC,False,,
15,25,32,cartone,Q1416517,MISC,True,plain,
15,46,58,Nostra Donna,Q345,PER,False,,
15,66,76,Santa Anna,Q164294,PER,True,plain,
15,11,16,mezzo,Q23595,MISC,False,,
15,85,91,Cristo,Q302,PER,True,plain,
15,139,147,artefici,Q1294787,MISC,False,,
15,177,183,stanza,Q180516,LOC,True,plain,
15,229,235,uomini,Q8441,PER,True,plain,
15,241,246,donne,Q467,PER,True,plain,
15,286,291,feste,Q200538,MISC,True,plain,
15,315,325,maraviglie,Q977433,MISC,False,,
15,329,337,Lionardo,Q762,PER,True,plain,
15,369,375,popolo,Q2472587,MISC,True,plain,
15,198,204,giorni,Q573,MISC,True,plain,
16,6,14,Lionardo,Q762,PER,True,plain,
16,25,47,Francesco del Giocondo,Q1395822,PER,True,plain,
16,77,83,moglie,Q188830,PER,True,plain,
16,165,188,Re Francesco di Francia,Q129857,PER,True,plain,
16,192,203,Fontanableo,Q201428,LOC,False,,
16,216,221,testa,Q23640,MISC,True,plain,
16,249,253,arte,Q735,MISC,True,plain,
16,272,278,natura,Q7860,MISC,True,plain,
16,355,362,minuzie,Q1201081,MISC,False,,
16,140,145,opera,Q838948,MISC,True,plain,
16,95,99,anni,Q577,MISC,True,plain,
16,382,394,sottigliezza,Q49396791,MISC,True,plain,
16,51,72,ritratto di Mona Lisa,Q12418,MISC,False,,
17,30,38,Lionardo,Q762,PER,True,plain,
17,52,59,cartone,Q1416517,MISC,True,plain,
17,65,78,sala del papa,Q3657394,LOC,False,,
17,89,108,Santa Maria Novella,Q51175,LOC,True,plain,
17,132,149,Niccolò Piccinino,Q979543,PER,True,plain,
17,163,185,Duca Filippo di Milano,Q289285,PER,False,,
17,150,158,capitano,Q273108,PER,True,plain,
17,218,225,cavalli,Q726,MISC,True,plain,
17,208,214,groppo,Q16887380,MISC,False,,
17,247,255,bandiera,Q14660,MISC,True,plain,
17,257,261,cosa,Q35120,MISC,False,,
17,378,382,fuga,Q178561,MISC,False,,
17,122,128,storia,Q1318295,MISC,False,,
17,292,302,magisterio,Q644238,MISC,False,,
17,334,348,considerazioni,Q131841,MISC,False,,
17,80,85,luogo,Q17334923,MISC,True,plain,
18,0,8,Lionardo,Q762,PER,True,plain,
18,42,49,Francia,Q142,LOC,True,plain,
18,59,61,re,Q116,PER,True,plain,
18,75,80,opere,Q838948,MISC,True,plain,
18,146,170,cartone della Santa Anna,Q2471531,MISC,True,normalized,cartone della ''Sant'Anna'' di
18,196,203,costume,Q11460,MISC,True,plain,
18,228,234,parole,Q8171,MISC,True,plain,
19,3,12,discepolo,Q385586,PER,True,plain,
19,16,24,Lionardo,Q762,PER,True,plain,
19,25,49,Giovanantonio Boltraffio,Q442528,PER,False,,
19,104,117,Marco Uggioni,Q982274,PER,False,,
19,126,148,Santa Maria della Pace,Q3673878,LOC,True,plain,
19,157,181,Transito di Nostra Donna,Q1245512,MISC,False,,
19,187,207,Nozze di Canagalilee,Q32066758,MISC,False,,
19,60,67,persona,Q215627,MISC,True,plain,
20,11,19,facciata,Q183061,MISC,True,plain,
20,38,44,storie,Q1318295,MISC,False,,
20,92,99,tiranno,Q180095,PER,True,plain,
20,106,112,tempio,Q44539,LOC,True,plain,
20,129,146,Passion di Cristo,Q623306,MISC,False,,
20,153,160,ladroni,Q2258167,MISC,False,,
20,164,169,croce,Q40843,MISC,True,plain,
20,175,180,Marie,Q3254109,PER,True,plain,
20,209,222,Vergine Maria,Q345,PER,True,plain,
20,48,62,Santa Caterina,Q179718,PER,True,plain,
20,63,70,martire,Q6498826,MISC,True,plain,
21,12,21,Raffaello,Q5597,PER,True,plain,
21,47,59,Lorenzo Nasi,Q21618043,PER,True,plain,
21,83,88,donna,Q467,MISC,True,plain,
21,115,123,Rafaello,Q5597,PER,False,,
21,139,145,quadro,Q3305213,MISC,True,plain,
21,152,164,Nostra Donna,Q345,PER,False,,
21,180,186,camera,Q180516,LOC,True,plain,
21,223,228,gambe,Q133105,MISC,True,plain,
21,232,236,puto,Q284865,MISC,False,,
21,250,262,San Giovanni,Q40662,PER,True,plain,
21,296,303,uccello,Q5113,MISC,True,plain,
21,313,318,festa,Q200538,MISC,True,plain,
21,321,327,giuoco,Q1150958,MISC,True,plain,
21,97,103,giorni,Q573,MISC,True,plain,
22,15,34,Signoria di Vinezia,Q4948,ORG,False,,
22,54,62,vittorie,Q50000,MISC,True,normalized,vittoria
22,70,75,virtù,Q157811,MISC,True,plain,
22,79,100,Bartolomeo da Bergamo,Q809506,PER,False,,
22,121,126,virtù,Q157811,MISC,True,plain,
22,135,142,signore,Q12826225,MISC,True,plain,
22,150,155,animo,Q9165,MISC,True,plain,
22,173,181,capitani,Q273108,MISC,True,plain,
22,195,201,Senato,Q2570643,LOC,True,plain,
22,248,254,bronzo,Q34095,MISC,True,plain,
22,283,314,piazza di Santo Giovanni e Polo,Q3654630,MISC,False,,
22,361,367,Italia,Q38,LOC,True,plain,
22,413,421,Fiorenza,Q2044,LOC,True,plain,
22,438,445,Venezia,Q641,LOC,True,plain,
22,462,472,provisione,OOV,MISC,False,,
22,492,499,modello,Q1979154,MISC,True,plain,
22,503,508,terra,Q21152267,MISC,False,,
22,330,334,nome,Q82799,MISC,True,plain,
22,337,343,Andrea,Q183458,PER,False,,
22,228,244,statua a cavallo,Q659396,MISC,False,,
23,7,12,città,Q515,MISC,True,plain,
23,24,28,case,Q3947,MISC,True,plain,
23,54,61,femmine,Q467,MISC,False,,
23,144,152,Fiorenza,Q2044,LOC,True,plain,
23,163,169,quadri,Q11629,MISC,True,plain,
23,186,192,Venere,Q47652,MISC,True,plain,
23,213,217,aure,Q201411,MISC,False,,
23,220,225,venti,Q476682,MISC,True,plain,
23,249,254,terra,Q21152267,MISC,False,,
23,263,268,amori,Q5011,MISC,True,normalized,Amore
23,286,292,Venere,Q47652,MISC,True,plain,
23,300,306,Grazie,Q184353,MISC,True,plain,
23,335,344,Primavera,Q1312,MISC,True,plain,
23,47,51,mano,Q33767,MISC,True,plain,
23,366,372,grazia,Q17148382,MISC,False,,
23,34,39,tondi,Q848330,MISC,True,plain,
23,102,110,Castello,Q2094778,LOC,True,plain,
23,112,117,luogo,Q17334923,MISC,True,plain,
23,122,133,Duca Cosimo,Q48547,PER,True,plain,
