id,sentence
10,"When the world possesses some great light in any science, every least part is illuminated by its rays, some with greater brightness and some with less; and the miracles that result are also greater or less according to differences of air and place. Constantly, in truth, do we see a particular country producing a particular kind of intellect fitted for a particular kind of work, for which others are not fitted, nor can they ever attain, whatever labours they may endure, to the goal of supreme excellence. And if we marvel when we see growing in some province a fruit that has not been wont to grow there, much more can we rejoice in a man of fine intellect when we find him in a country where men of the same bent are not usually born. Thus it was with the painter Marco Calavrese, who, leaving his own country, chose for his habitation the sweet and pleasant city of Naples. He had been minded, indeed, on setting out, to make his way to Rome, and there to achieve the end that rewards the student of painting; but the song of the Siren was so sweet to him, and all the more because he delighted to play on the lute, and the soft waters of Sebeto so melted his heart, that he remained a prisoner in body of that land until he rendered up his spirit to Heaven and his mortal flesh to earth. Marco executed innumerable works in oils and in fresco, and he proved himself more able than any other man who was practising the same art in that country in his day. Of this we have proof in the work that he executed at Aversa, ten miles distant from Naples; and, above all, in a panel-picture in oils on the high-altar of the Church of S. Agostino, with a large ornamental frame, and various pictures painted with scenes  and figures, in which he represented S. Augustine disputing with the heretics, with stories of Christ and Saints in various attitudes both above and at the sides."
11,"At this same time lived Niccola, commonly called by everyone Maestro Cola dalla Matrice, who executed many works in Calabria, at Ascoli, and at Norcia, which are very well known, and which gained for him the name of a rare master—the best, indeed, that there had ever been in these parts. And since he also gave his attention to architecture, all the buildings that were erected in his day at Ascoli and throughout all that province had him as architect. Cola, without caring to see Rome or to change his country, remained always at Ascoli, living happily for some time with his wife, a woman of good and honourable family, and endowed with extraordinary nobility of spirit, as was proved when the strife of  parties arose at Ascoli, in the time of Pope Paul III. For then, while she was flying with her husband, with many soldiers in pursuit, more on her account (for she was a very beautiful young woman) than for any other reason, she resolved, not seeing any other way in which she could save her own honour and the life of her husband, to throw herself from a high cliff to the depth below. At which all the soldiers believed that she was not only mortally injured, but dashed to pieces, as indeed she was; wherefore they left the husband without doing him any harm, and returned to Ascoli. After the death of this extraordinary woman, worthy of eternal praise, Maestro Cola passed the rest of his life with little happiness. A short time afterwards, Signor Alessandro Vitelli, who had become Lord of Matrice,[14] took Maestro Cola, now an old man, to Città di Castello, where he caused him to paint in his palace many works in fresco and many other pictures; which works finished, Maestro Cola returned to finish his life at Matrice."
12,"While Giorgione and Correggio, to their own great credit and glory, were honouring the regions of Lombardy, Tuscany, on her part, was not wanting in men of beautiful intellect; among whom, not one of the least was Piero, the son of one Lorenzo, a goldsmith, and a pupil of Cosimo Rosselli, after whom he was always called Piero di Cosimo, and known by no other name. And in truth, when a man teaches us excellence and gives us the secret of living rightly, he deserves no less gratitude from us, and should be held no less as a true father, than he who begets us and gives us life and nothing more. Piero was entrusted by his father, who saw in his son a lively intelligence and an inclination to the art of design, to the care of Cosimo, who took him with no ordinary willingness; and seeing him grow no less in ability than in years, among the many disciples that he had, he bore him love as to a son, and always held him as such. This young man had by nature a most lofty spirit, and he was very strange, and different in fancy from the other youths who were working with Cosimo in order to learn the same art. He was at times so intent on what he was doing, that when some subject was being discussed, as often happens, at the end of the discussion it was necessary to go back to the beginning and tell him the whole, so far had his brain wandered after some other fancy of his own. And he was likewise so great a lover of solitude, that he knew no pleasure save that of going off by himself with his thoughts, letting his fancy roam and building his castles in the air. Right good reason had Cosimo, his master, for wishing him well, seeing that he made so much use of him in his works, that very often he caused him to execute  things of great importance, knowing that Piero had a more beautiful manner, as well as better judgment, than himself."
13,"But to return to the art and actions of Piero; he was given the commission for a panel in the Church of the Servite Friars, in the Chapel of the Tedaldi, where they keep the garment and the pillow of S. Filippo, a brother of their Order; wherein he depicted Our Lady standing, raised from the ground on a pedestal, and uplifting her head towards Heaven, with a book in her hand, but without her Son; and above her is the Holy Spirit, bathing her with light. Nor did he wish that any other light than that of the Dove should illumine her and the figures that are round her, such as a S. Margaret and a S. Catherine, who are on their knees, adoring her, while S. Peter and S. John the Evangelist are standing, contemplating her, together with S. Filippo, the Servite Friar, and S. Antonino, Archbishop of Florence. Moreover, he made there a landscape that is very bizarre, what with the strange trees and certain grottoes. And in truth, there are some very beautiful things in this work, such as certain heads that reveal both draughtsmanship and grace; besides the colouring, which is very harmonious, for it is certain that Piero was a great master of colouring in oils. In the predella he painted some little scenes, very well executed; and, among others, there is one of S. Margaret issuing from the belly of the Dragon, wherein he made that animal so monstrous and hideous, that I do not think that there is anything better of that kind to be seen, for with its eyes it reveals venom, fire, and death, in an aspect truly terrifying. And certainly, as for such things, I do not believe that any one ever did them better than he, or came near him in imagining them; to which witness is borne by a marine monster that he made and presented to the Magnificent Giuliano de' Medici, which is so extravagant, bizarre, and fantastic in its deformity, that it seems  impossible that Nature should produce anything so deformed and strange among her creations. This monster is now in the guardaroba of Duke Cosimo de' Medici, as is also a book, likewise by the hand of Piero, of animals of the same kind, most beautiful and bizarre, hatched very diligently with the pen, and finished with an incredible patience; which book was presented to him by M. Cosimo Bartoli, Provost of S. Giovanni, who is very much my friend, as he is of all our craftsmen, being a man who has always delighted, and still delights, in our profession."
14,"There is now living in Rome one who is certainly very excellent in his profession, Girolamo Siciolante of Sermoneta, of whom, although something has been said in the Life of Perino del Vaga, whose disciple he was, assisting him in the works of Castel S. Angelo and in many others, nevertheless it cannot but be well to say also here so much as his great excellence truly deserves. Among the first works, then, that this Girolamo executed by himself, was an altar-piece twelve palms high painted by him in oils at the age of twenty, which is now in the Badia of S. Stefano, near his native town of Sermoneta; wherein, large as life, are S. Peter, S. Stephen, and S. John the Baptist, with certain children. After that altar-piece, which was much extolled, he painted for the Church of S. Apostolo, in Rome, an altar-piece in oils with the Dead Christ, Our Lady, S. John, the Magdalene, and other figures, all executed with diligence. Then in the Pace, in the marble chapel that Cardinal Cesis caused to be constructed, he decorated the whole vaulting with stucco-work in a pattern of four pictures, painting therein the Nativity of Jesus Christ, the Adoration of the Magi, the Flight into Egypt, and the Massacre of the Innocents; all which was a work worthy of much praise and executed with invention, judgment, and diligence. For that same church, not long after, the same Girolamo painted an altar-piece fifteen palms high, which is beside the high-altar, of the Nativity of Jesus Christ, which was very beautiful; and then in another altar-piece in oils, for the Sacristy of the Church of S. Spirito in Rome, the Descent of the Holy Spirit upon the Apostles, which is a work full of grace. In like manner, in the Church of S. Maria de Anima, the church of the German colony, he painted in fresco the whole of the Chapel of the Fugger family (for which  Giulio Romano once executed the altar-piece), with large scenes of the Life of Our Lady. For the high-altar of S. Jacopo degli Spagnuoli he painted in a large altar-piece a very beautiful Christ on the Cross with some Angels about Him, Our Lady, and S. John, and besides this two large pictures that are one on either side of it, each nine palms high and with a single figure, S. James the Apostle and S. Alfonso the Bishop; in which pictures it is evident that he used much study and diligence."
15,"Of Jacopo del Conte, a Florentine, who like those named above dwells in Rome, enough will have been said, what with this and other places, after certain other particulars have been given here. This Jacopo, then, having been much inclined from his earliest youth to portraying from the life, has desired that this should be his principal profession, although on occasions he has executed altar-pictures and works in fresco in some numbers, both in Rome and without. Of his portraits—not to speak of them all, which would make a very long story—I shall say only that he has portrayed all the Pontiffs that there have been from Pope Paul III to the present day, and all the lords and ambassadors of importance who have been at that Court, and likewise the military captains and great men of the house of Colonna and of the Orsini, Signor Piero Strozzi, and an infinite number of Bishops, Cardinals, and other great prelates and lords, not to speak of many men of letters and other men of quality; all which has caused him to acquire fame, honour, and profit in Rome, so that he lives honourably and much at his ease with his family in that city. From his boyhood he drew so well that he gave promise, if he should persevere, of becoming excellent, and so in truth he would have been, but, as I have said, he turned to that to which he felt himself inclined by nature. Nevertheless, his works cannot but be praised. By his hand is a Dead Christ in an altar-piece that is in the Church of the Popolo, and in another that he has executed for the Chapel of S. Dionigi in S. Luigi, with stories, is the first-named Saint. But the most beautiful work that he ever did was in two scenes in fresco that he once painted, as has been told in another place, in the Florentine Company of the Misericordia, with an altar-picture of Christ taken down from the Cross, with the Thieves fixed on their crosses, and the Madonna in a swoon, painted in oil-colours, all beautiful and executed with diligence and with great credit to him. He has made many pictures throughout Rome, and figures in various manners, and has executed a number of full-length  portraits, both nude and draped, of men and women, which have proved very beautiful, because the subjects were not otherwise. He has also portrayed, according as occasions arose, many heads of noble ladies, gentlewomen and princesses who have been in Rome; and among others, I know that he once portrayed Signora Livia Colonna, a most noble lady, incomparable in her illustrious blood, her virtue, and her beauty. And let this suffice for Jacopo del Conte, who is still living and constantly at work."
16,"Although there is no truth and not much confidence to be placed in the ancient proverb that the prodigal's purse is never empty, and although, on the contrary, it is very true that he who does not live a well-ordered life in his own degree lives at the last in want and dies miserably, it is seen, nevertheless, that fortune sometimes aids rather those who squander without restraint than those who are in all things careful and self-restrained; and when the favour of fortune ceases, there often comes death, to make up for her defection and for the bad management of men, supervening at the very moment when such men would begin with infinite dismay to recognize how miserable a thing it is to have squandered in youth and to want in old age, living and labouring in poverty, as would have happened to Giovanni da Santo Stefano a Ponte of Florence, if, after having consumed his patrimony and much gain which had been brought to his hands rather by fortune than by his merits, with some inheritances that came to him from an unexpected source, he had not finished at one and the same time the course of his life and all his means. This man, then, who was a disciple of Buonamico Buffalmacco, and who imitated him more in attending to the pleasures of life than in seeking to become an able painter, was born in the year 1307, and after being in early youth a disciple of Buffalmacco, he made his first works in the Chapel of S. Lorenzo, in the Pieve of Empoli, painting there in fresco many scenes of the life of that Saint, with so great diligence that he was summoned to Arezzo in the year 1344, a better development being expected after so fine a beginning; and there he painted the Assumption of Our Lady in a chapel in S. Francesco. And a little time afterwards, being in some credit in that city for lack of other painters, he painted the Chapel of S. Onofrio in the Pieve, with that of S. Antonio, which to-day is spoilt by damp. He also made some other pictures that were in S. Giustina and in S. Matteo, but these were thrown to the ground by Duke Cosimo, together with the said churches, in the making of fortifications for that city; and exactly in that place, at the foot of the abutment of an ancient bridge beside the said S. Giustina, where the stream entered the city, there were then found a head of Appius Cæcus and one of his son, both in marble and very beautiful, with an ancient epitaph, likewise very beautiful, which are all now in the guardaroba[22] of the said Lord Duke. Giovanni, having returned to Florence at the time when there was finished the closing of the middle arch of the Ponte a S. Trinita, painted many figures both within and without a chapel built over one pier and dedicated to S. Michelagnolo, and in particular all the front wall; which chapel, together with the bridge, was carried away by the flood of the year 1557. It is by reason of these works that some maintain, besides what has been said about him at the beginning, that he was ever afterwards called Giovanni dal Ponte. In Pisa, also, in the year 1355, he made some scenes in fresco behind the altar of the principal chapel of S. Paolo a Ripa d'Arno, which are now all spoilt by damp and by time."
17,"Giovanni also painted the Chapel of the Scali in S. Trinita in Florence, with another that is beside it, and one of the stories of S. Paul by the side of the principal chapel, where is the tomb of Maestro Paolo, the astrologer. In S. Stefano al Ponte Vecchio he painted a panel, with other pictures in distemper and in fresco both within and without Florence, which brought him considerable credit."
18,"At length, after the Lives of many craftsmen who have been excellent, some in colouring, some in drawing, and others in invention, we have come to the most excellent Andrea del Sarto, in whose single person nature and art demonstrated all that painting can achieve by means of draughtsmanship, colouring, and invention, insomuch that, if Andrea had possessed a little more fire and boldness of spirit, to correspond to his profound genius and judgment in his art, without a doubt he would have had no equal. But a certain timidity of spirit and a sort of humility and simplicity in his nature made it impossible that there should be seen in him that glowing ardour and that boldness which, added to his other qualities, would have made him truly divine in painting; for which reason he lacked those adornments and that grandeur and abundance of manners which have been seen in many other painters. His figures, however, for all their simplicity and purity, are well conceived, free from errors, and absolutely perfect in every respect. The expressions of his heads, both in children and in women, are gracious and natural, and those of men, both young and old, admirable in their vivacity and animation; his draperies are beautiful to a marvel, and his nudes very well conceived. And although his drawing is simple, all that he coloured is rare and truly divine. Andrea was born in Florence, in the year 1478, to a father who was all his life a tailor; whence he was always called Andrea del Sarto by everyone. Having come to the age of seven, he was taken away from his reading and writing school and apprenticed to the goldsmith's craft."
19,"There was at this same time in the Convent of the Servi, selling the candles at the counter, a friar called Fra Mariano dal Canto alla Macine, who was also sacristan; and he heard everyone extolling Andrea mightily and saying that he was by way of making marvellous proficience in painting. Whereupon he planned to fulfil a desire of his own without much expense; and so, approaching Andrea, who was a mild and guileless fellow, on the side of his honour, he began to persuade him under the cloak of friendship that he wished to help him in a matter which would bring him honour and profit and would make him known in such a manner, that he would never be poor any more. Now many years before, as has been related above, Alesso Baldovinetti had painted a Nativity of Christ in the first cloister of the Servi, on the wall that has the Annunciation behind it; and in the same cloister, on the other side, Cosimo Rosselli had begun a scene of S. Filippo, the founder of that Servite Order, assuming the habit. But Cosimo had not carried that scene to completion, because death came upon him at the very moment when he was working at it. The friar, then, being very eager to see the rest finished, thought of serving his own ends by making Andrea and Franciabigio, who, from being friends, had become rivals in art, compete with one another, each doing part of the work. This, besides effecting  his purpose very well, would make the expense less and their efforts greater. Thereupon, revealing his mind to Andrea, he persuaded him to undertake that enterprise, by pointing out to him that since it was a public and much frequented place, he would become known on account of such a work no less by foreigners than by the Florentines; that he should not look for any payment in return, or even for an invitation to undertake it, but should rather pray to be allowed to do it; and that if he were not willing to set to work, there was Franciabigio, who, in order to make himself known, had offered to accept it and to leave the matter of payment to him. These incitements did much to make Andrea resolve to undertake the work, and the rather as he was a man of little spirit; and the last reference to Franciabigio induced him to make up his mind completely and to come to an agreement, in the form of a written contract, with regard to the whole work, on the terms that no one else should have a hand in it. The friar, then, having thus pledged him and given him money, demanded that he should begin by continuing the life of S. Filippo, without receiving more than ten ducats from him in payment of each scene; and he told Andrea that he was giving him even that out of his own pocket, and was doing it more for the benefit and advantage of the painter than through any want or need of the convent."
