id,start_pos,end_pos,surface,type,wb_id
10,73,79,Christ,PER,Q302
10,111,120,craftsmen,MISC,Q1294787
10,159,162,men,MISC,Q8441
10,167,172,women,MISC,Q467
10,207,211,days,MISC,Q573
10,227,232,sight,MISC,Q162668
10,246,250,room,MISC,Q180516
10,283,291,festival,MISC,Q132241
10,317,324,marvels,MISC,Q977433
10,328,336,Leonardo,PER,Q762
10,361,367,people,MISC,Q2472587
10,393,397,face,MISC,Q37017
10,406,413,Madonna,PER,Q345
10,471,481,simplicity,MISC,Q508291
10,486,492,beauty,MISC,Q7242
10,500,505,grace,MISC,Q205194
10,511,518,picture,MISC,Q478798
10,526,542,Mother of Christ,PER,Q345
10,573,580,modesty,MISC,Q11199149
10,590,598,humility,MISC,Q1186677
10,626,631,image,MISC,Q478798
10,639,645,Virgin,PER,Q345
10,670,678,gladness,MISC,Q8
10,693,699,beauty,MISC,Q7242
10,707,710,Son,PER,Q1141210
10,756,759,lap,MISC,Q1276686
10,738,748,tenderness,MISC,Q19816620
10,787,791,gaze,MISC,Q14467155
10,816,823,S. John,PER,Q40662
10,837,840,boy,MISC,Q3010
10,865,869,lamb,MISC,Q4575936
10,885,890,smile,MISC,Q487
10,896,903,S. Anne,PER,Q164294
10,927,930,joy,MISC,Q8
10,958,965,progeny,MISC,Q239526
10,981,986,ideas,MISC,Q131841
10,1007,1012,brain,MISC,Q1073
10,1017,1023,genius,MISC,Q185030
10,1027,1035,Leonardo,PER,Q762
11,0,8,Leonardo,PER,Q762
11,35,57,Francesco del Giocondo,PER,Q1395822
11,63,85,portrait of Monna Lisa,MISC,Q12418
11,91,95,wife,MISC,Q188830
11,132,137,years,MISC,Q577
11,170,174,work,MISC,Q17537576
11,189,199,collection,MISC,Q208165
11,203,225,King Francis of France,PER,Q129857
11,230,243,Fontainebleau,LOC,Q201428
12,11,15,Rome,LOC,Q220
12,21,45,Duke Giuliano de' Medici,PER,Q333340
12,66,74,Pope Leo,PER,Q49237
12,120,127,studies,MISC,Q1782301
12,149,156,alchemy,MISC,Q39689
12,175,180,paste,MISC,Q904216
12,194,198,kind,MISC,Q21146257
12,202,205,wax,MISC,Q124695
12,230,237,animals,MISC,Q729
12,260,264,wind,MISC,Q8094
12,319,322,air,MISC,Q7391292
12,337,341,wind,MISC,Q8094
12,366,372,ground,MISC,Q21152267
13,10,18,Leonardo,PER,Q762
13,48,52,work,MISC,Q17537576
13,62,69,cartoon,MISC,Q1416517
13,77,90,Sala del Papa,LOC,Q3657394
13,108,124,S. Maria Novella,LOC,Q51175
13,95,104,apartment,MISC,Q188507
13,143,148,story,MISC,Q1318295
13,152,169,Niccolo Piccinino,PER,Q979543
13,171,178,Captain,MISC,Q25114211
13,182,194,Duke Filippo,PER,Q289285
13,198,203,Milan,LOC,Q490
13,227,232,group,MISC,Q16887380
13,236,244,horsemen,MISC,Q47315
13,269,277,standard,MISC,Q2912707
13,281,285,work,MISC,Q17537576
13,346,352,reason,MISC,Q1710397
13,334,341,mastery,MISC,Q644238
13,371,376,ideas,MISC,Q131841
13,407,413,battle,MISC,Q178561
14,16,20,time,MISC,Q11471
14,55,61,Pescia,LOC,Q102661
14,71,77,Datary,PER,Q620020
14,81,89,Pope Leo,PER,Q49237
14,100,107,picture,MISC,Q478798
14,115,137,Madonna with the Child,MISC,Q9309699
14,145,149,arms,MISC,Q43471
14,165,174,diligence,MISC,Q1427962
14,179,182,art,MISC,Q735
14,208,213,fault,MISC,Q1095373
14,247,252,gesso,MISC,Q1514256
14,236,241,panel,MISC,Q55439
14,299,307,mixtures,MISC,Q169336
14,311,318,grounds,MISC,Q21152267
14,323,330,colours,MISC,Q1075
14,33,51,Baldassarre Turini,PER,Q3633263
15,16,25,disciples,MISC,Q385586
15,31,44,Marco Oggioni,PER,Q982274
15,62,81,S. Maria della Pace,LOC,Q3673878
15,87,106,Passing of Our Lady,MISC,Q1245512
15,115,131,Marriage of Cana,MISC,Q625140
15,135,142,Galilee,LOC,Q83241
16,2,10,disciple,MISC,Q385586
16,14,22,Leonardo,PER,Q762
16,27,52,Giovan Antonio Boltraffio,PER,Q442528
16,56,61,Milan,LOC,Q490
16,65,71,person,PER,Q215627
16,81,86,skill,MISC,Q205961
16,91,104,understanding,MISC,Q46744
16,118,127,year 1500,MISC,Q6126
16,147,156,diligence,MISC,Q1427962
16,166,192,Church of the Misericordia,LOC,OOV
16,202,209,Bologna,LOC,Q1891
16,213,226,panel in oils,LOC,Q174705
16,238,261,Our Lady with the Child,MISC,Q9309699
16,269,273,arms,MISC,Q43471
16,275,294,S. John the Baptist,PER,Q40662
16,296,308,S. Sebastian,PER,Q183332
16,324,330,patron,MISC,Q15472169
16,380,384,life,MISC,Q3
16,393,398,knees,MISC,Q37425
16,418,422,work,MISC,Q17537576
16,446,450,name,MISC,Q82799
16,470,478,disciple,MISC,Q385586
16,482,490,Leonardo,PER,Q762
17,3,9,reason,MISC,Q2574811
17,19,24,works,MISC,Q17537576
17,36,40,name,MISC,Q82799
17,44,51,Cimabue,PER,Q15790
17,100,106,Assisi,LOC,Q20103
17,110,114,city,MISC,Q515
17,118,124,Umbria,LOC,Q1280
17,163,170,masters,MISC,Q3276357
17,185,207,Church of S. Francesco,LOC,Q207486
17,232,240,vaulting,MISC,Q189771
17,253,258,walls,MISC,Q42948
17,263,283,life of Jesus Christ,MISC,Q4923891
17,296,306,S. Francis,PER,Q676555
18,21,25,work,MISC,Q17537576
18,92,99,General,MISC,Q103163
18,103,114,Vallombrosa,LOC,Q4008256
18,117,130,panel-picture,MISC,Q55439
18,153,160,figures,MISC,Q29527347
18,162,181,S. John the Baptist,PER,Q40662
18,183,204,S. Giovanni Gualberto,PER,Q707172
18,206,213,founder,MISC,Q4479442
18,222,227,Order,ORG,Q2061186
18,229,244,S. Michelagnolo,PER,Q45581
18,250,261,S. Bernardo,PER,Q2259281
18,265,273,Cardinal,MISC,Q45722
18,280,284,monk,MISC,Q733786
18,292,297,Order,ORG,Q2061186
18,316,320,boys,MISC,Q3010
18,328,334,centre,MISC,Q23595
19,4,10,talent,MISC,Q1200995
19,14,26,Michelagnolo,PER,Q5592
19,66,75,gentleman,MISC,Q749212
19,89,101,Jacopo Galli,PER,Q21866988
19,116,122,person,PER,Q215627
19,149,154,Cupid,MISC,Q5011
19,158,164,marble,MISC,Q40861
19,177,181,life,MISC,Q3
19,194,200,figure,MISC,Q29527347
19,206,213,Bacchus,MISC,Q645312
19,240,243,cup,MISC,Q81727
19,257,261,hand,MISC,Q33767
19,279,283,hand,MISC,Q33767
19,321,327,grapes,MISC,Q10978
19,346,351,satyr,MISC,Q163709
19,288,292,skin,MISC,Q1074
19,298,303,tiger,MISC,Q19939
20,38,44,figure,MISC,Q29527347
20,48,57,Fortitude,MISC,Q605035
20,65,76,Mercatanzia,LOC,Q3998632
20,80,88,Florence,LOC,Q2044
20,100,108,pictures,MISC,Q478798
20,112,119,Virtues,MISC,Q904802
20,141,148,Antonio,PER,Q318640
20,153,173,Piero del Pollaiuolo,PER,Q707046
21,7,15,tramezzo,MISC,Q2705982
21,23,33,Ognissanti,LOC,Q2778991
21,42,46,door,MISC,Q36794
21,67,72,choir,MISC,Q207707
21,93,101,Vespucci,PER,Q4010390
21,104,116,S. Augustine,PER,Q8018
21,192,200,painters,MISC,Q1028181
21,158,163,pains,MISC,Q81938
21,208,212,time,MISC,Q11471
21,231,251,Domenico Ghirlandajo,PER,Q191423
21,268,277,S. Jerome,PER,Q44248
21,291,295,side,MISC,Q30444261
21,306,310,work,MISC,Q17537576
21,326,332,praise,MISC,Q1208425
21,345,349,head,MISC,Q23640
21,358,363,Saint,PER,Q43115
21,389,399,meditation,MISC,Q108458
21,410,418,subtlety,MISC,Q49396791
21,437,440,men,MISC,Q8441
21,444,450,wisdom,MISC,Q799
21,484,497,investigation,MISC,Q21004260
21,532,539,matters,MISC,Q26256810
22,12,18,houses,MISC,Q3947
22,34,38,city,MISC,Q515
22,56,64,pictures,MISC,Q478798
22,82,87,nudes,MISC,Q40446
22,121,129,Castello,LOC,Q2094778
22,133,138,villa,MISC,Q3950
22,142,153,Duke Cosimo,PER,Q48547
22,178,192,birth of Venus,MISC,Q19760026
22,205,210,Winds,MISC,Q476682
22,215,222,Zephyrs,MISC,Q467515
22,245,250,earth,MISC,Q21152267
22,261,267,Cupids,MISC,Q5011
22,290,295,Venus,MISC,Q47652
22,306,312,Graces,MISC,Q184353
22,331,338,flowers,MISC,Q506
22,345,351,symbol,MISC,Q80071
22,355,361,spring,MISC,Q1312
23,26,31,house,MISC,Q3947
23,39,45,Medici,MISC,Q170022
23,60,67,Lorenzo,PER,Q932292
23,84,90,Pallas,MISC,Q457294
23,96,102,device,MISC,Q103316448
23,112,120,branches,MISC,Q2923673
23,142,146,fire,MISC,Q3196
23,179,183,life,MISC,Q3
23,197,209,S. Sebastian,PER,Q183332
23,171,175,size,MISC,Q322481
24,3,32,S. Maria Maggiore in Florence,LOC,Q849356
24,45,51,Chapel,MISC,Q108325
24,59,70,Panciatichi,MISC,Q28668502
24,98,103,Pietà,MISC,Q223689
24,116,123,figures,MISC,Q29527347
25,7,12,house,MISC,Q3947
25,20,25,Pucci,MISC,Q56244015
25,60,67,figures,MISC,Q29527347
25,68,77,Boccaccio,PER,Q1402
25,80,84,tale,MISC,Q49084
25,88,109,Nastagio degli Onesti,MISC,Q1232587
25,125,133,pictures,MISC,Q478798
25,165,176,workmanship,MISC,Q8035029
25,186,194,Epiphany,MISC,Q132001
25,206,213,picture,MISC,Q478798
26,13,19,Sandro,PER,Q2221177
26,55,60,panel,MISC,Q55439
26,66,73,figures,MISC,Q29527347
26,142,147,doors,MISC,Q36794
26,165,171,façade,MISC,Q183061
26,175,191,S. Maria Novella,LOC,Q51175
26,223,229,church,MISC,Q16970
26,237,241,door,MISC,Q36794
26,249,255,centre,MISC,Q23595
26,273,294,Adoration of the Magi,MISC,Q488841
26,339,346,old man,MISC,Q191089
26,310,317,feeling,MISC,Q205555
26,365,369,foot,MISC,Q15807
26,373,381,Our Lord,PER,Q190
26,400,410,tenderness,MISC,Q19816620
26,456,459,end,MISC,Q12769393
26,472,479,journey,MISC,Q61509
27,12,18,Chapel,MISC,Q108325
27,22,34,Gino Capponi,PER,OOV
27,43,75,Church of S. Spirito at Florence,LOC,Q1519975
27,90,95,panel,MISC,Q55439
27,111,133,Visitation of Our Lady,MISC,Q691810
27,140,151,S. Nicholas,PER,Q44269
27,159,169,S. Anthony,PER,Q170547
27,192,196,pair,MISC,Q2570803
27,200,210,spectacles,MISC,Q37501
27,218,222,nose,MISC,Q2673594
27,240,246,figure,MISC,Q29527347
28,21,24,art,MISC,Q735
28,29,36,actions,MISC,Q4026292
28,40,45,Piero,PER,Q3903143
28,81,86,panel,MISC,Q55439
28,94,100,Church,MISC,Q16970
28,108,122,Servite Friars,ORG,Q615923
28,64,74,commission,MISC,Q760089
28,131,137,Chapel,MISC,Q108325
28,145,152,Tedaldi,MISC,OOV
28,174,181,garment,MISC,Q11460
28,190,196,pillow,MISC,Q99895
28,200,210,S. Filippo,PER,Q141900
28,214,221,brother,MISC,Q16824629
28,231,236,Order,ORG,Q2061186
28,258,266,Our Lady,PER,Q345
28,293,299,ground,MISC,Q21152267
28,305,313,pedestal,MISC,Q12014132
28,333,337,head,MISC,Q23640
28,346,352,Heaven,LOC,Q4489450
28,361,365,book,MISC,Q571
28,373,377,hand,MISC,Q33767
28,395,398,Son,PER,Q1141210
28,421,432,Holy Spirit,MISC,Q37302
28,451,456,light,MISC,Q9128
29,7,15,predella,MISC,Q1411766
29,39,45,scenes,MISC,Q88392887
29,102,113,S. Margaret,PER,Q297742
29,131,136,belly,MISC,Q66505048
29,144,150,Dragon,MISC,Q7559
29,173,179,animal,MISC,Q1274979
29,264,268,kind,MISC,Q21146257
29,294,298,eyes,MISC,Q7364
29,310,315,venom,MISC,Q3386847
29,317,321,fire,MISC,Q3196
29,327,332,death,MISC,Q4
30,0,5,Piero,PER,Q280851
30,29,44,Filippo Strozzi,PER,Q323993
30,48,55,picture,MISC,Q478798
30,68,75,figures,MISC,Q29527347
30,79,86,Perseus,PER,Q130832
30,98,107,Andromeda,PER,Q161582
30,117,124,Monster,MISC,Q209489
30,117,124,Monster,MISC,Q276453
30,159,165,things,MISC,Q35120
31,46,51,Venus,MISC,Q47652
31,60,64,Mars,MISC,Q112
31,102,108,meadow,MISC,Q7777019
31,117,124,flowers,MISC,Q506
31,153,158,Loves,MISC,Q121973
31,210,216,helmet,MISC,Q173603
31,218,225,armlets,MISC,Q6398218
31,247,253,armour,MISC,Q20793164
31,257,261,Mars,MISC,Q112
31,274,279,grove,MISC,Q1510380
31,283,289,myrtle,MISC,Q165152
31,298,303,Cupid,MISC,Q5011
31,324,330,rabbit,MISC,Q9394
31,355,360,Doves,MISC,Q10856
31,364,369,Venus,MISC,Q47652
31,384,391,emblems,MISC,Q112110
31,395,399,Love,MISC,Q121973
32,4,21,Giovanni Vespucci,PER,Q17064119
32,38,43,house,MISC,Q3947
32,61,75,Piero Salviati,PER,OOV
32,89,99,S. Michele,LOC,OOV
32,108,121,Via de' Servi,LOC,Q3556508
32,153,159,scenes,MISC,Q88392887
32,180,189,apartment,MISC,Q188507
32,220,225,fauns,MISC,Q223194
32,227,233,satyrs,MISC,Q163709
32,242,246,gods,MISC,Q178885
32,255,259,boys,MISC,Q3010
32,265,275,bacchanals,MISC,Q331341
32,290,296,marvel,MISC,Q977433
32,308,317,diversity,MISC,Q36793538
32,325,335,bay horses,MISC,Q900906
32,340,348,garments,MISC,Q11460
32,382,390,features,MISC,Q1207505
32,358,365,variety,MISC,Q36793538
32,411,416,grace,MISC,Q205194
32,441,447,nature,MISC,Q7860
32,432,437,truth,MISC,Q7949
33,0,5,Piero,PER,Q280851
33,8,16,portrait,MISC,Q134307
33,33,55,Francesco da San Gallo,PER,Q2252502
33,74,80,friend,MISC,Q17297777
33,94,103,companion,MISC,OOV
33,126,131,Piero,PER,Q280851
33,147,156,Francesco,PER,Q2252502
33,181,185,hand,MISC,Q33767
33,189,194,Piero,PER,Q280851
33,169,173,work,MISC,Q17537576
33,237,241,head,MISC,Q23640
33,245,254,Cleopatra,PER,Q635
33,264,267,asp,MISC,Q3226601
33,284,288,neck,MISC,Q9633
33,298,307,portraits,MISC,Q134307
33,327,335,Giuliano,PER,Q312365
33,358,369,grandfather,MISC,Q9238344
33,370,389,Francesco Giamberti,PER,Q3750041
33,320,326,father,MISC,Q7565
