doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
14,2258,2279,313,334,S. Alfonso the Bishop,PER,"['person', 'art', 'religious leader', 'action figure', 'bishop', 'character', 'figure', 'painter', 'painting', 'public figure', 'stick figure']"
16,1895,1905,155,165,S. Antonio,LOC,"['person', 'art', 'artist', 'religious leader', 'art historian', 'artwork', 'church', 'creator', 'master', 'painter', 'painting', 'spiritual leader', 'organism']"
18,21,26,21,26,Lives,MISC,"['person', 'art', 'artist', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'history', 'master', 'painter', 'painting', 'profession', 'traditional art', 'art history', 'master class']"
18,166,182,166,182,Andrea del Sarto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
18,338,344,338,344,Andrea,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
19,2522,2532,118,128,S. Filippo,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'male', 'master', 'painter', 'painting', 'priest', 'professional', 'saint', 'visual artist']"
20,554,584,65,95,Piero dal Borgo a San Sepolcro,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
20,740,745,251,256,Piero,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
24,680,721,64,105,Lives of the Painters and other Craftsmen,MISC,"['object', 'art', 'writing', 'art collection', 'art form', 'art historian', 'article', 'art journal', 'biography', 'book', 'diary', 'history', 'piece', 'publication', 'record', 'script', 'story', 'art history', 'culture medium', 'life history', 'life story', 'public record']"
24,800,815,184,199,Fra Giocondo of,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'professional', 'visual artist', 'craftsman']"
26,263,269,263,269,Giotto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
27,2045,2053,288,296,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
27,2122,2130,365,373,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
29,1216,1223,46,53,S. Paul,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'father figure', 'stick figure']"
29,1252,1259,82,89,S. John,PER,"['person', 'artist', 'action figure', 'adult', 'art student', 'cartoon character', 'character', 'character actor', 'figure', 'male', 'man', 'painter', 'painting', 'public figure', 'statue', 'visual artist', 'father figure', 'stick figure']"
30,1621,1628,7,14,Trinità,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'city state', 'home', 'lady', 'landmark', 'main building', 'municipality', 'museum', 'place name', 'shrine', 'space', 'address space', 'museum piece', 'space group', 'artifact']"
31,491,504,49,62,Montepulciano,LOC,"['place', 'art', 'area', 'art form', 'artwork', 'culture medium']"
39,68,78,68,78,Rondinello,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
39,1610,1623,3,16,S. Apollinare,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art historian', 'art school', 'artwork', 'church', 'city state', 'gallery', 'home', 'municipality', 'museum', 'place name', 'record', 'space', 'art history', 'art house', 'display case', 'museum piece', 'space environment', 'space group']"
39,1839,1846,94,101,Madonna,PER,"['person', 'object', 'art', 'artwork', 'body', 'female', 'idol', 'representation']"
41,1917,1928,163,174,S. Agostino,LOC,"['location', 'place', 'art', 'artist', 'building', 'city', 'area', 'art form', 'art school', 'artwork', 'city state', 'creator', 'home', 'painter', 'place name', 'space', 'space group']"
41,1938,1963,184,209,Company of the Puraccioli,LOC,"['person', 'group', 'organization', 'art', 'artist', 'company', 'institution', 'theater', 'art collection', 'art form', 'art school', 'church', 'opera', 'opera house', 'space group', 'social group']"
45,1109,1120,101,112,Dead Christ,MISC,"['person', 'object', 'religious leader', 'body', 'character', 'death', 'figure', 'idol', 'landmark', 'pope', 'public figure', 'representation', 'spiritual leader', 'statue', 'dead', 'dead man', 'father figure', 'holy cross', 'deity']"
45,1728,1740,300,312,Annunciation,MISC,"['object', 'art', 'artwork', 'landmark', 'representation', 'holy cross', 'artifact']"
45,1843,1851,101,109,Our Lady,PER,"['person', 'object', 'art', 'artwork', 'character', 'female', 'idol', 'painter', 'painting']"
45,1968,1976,226,234,Our Lady,PER,"['person', 'object', 'art', 'artwork', 'character', 'painter', 'painting']"
45,1996,2004,254,262,S. James,PER,"['person', 'object', 'artist', 'artwork', 'character', 'creator', 'figure', 'idol', 'painter', 'painting', 'public figure']"
49,1386,1399,135,148,Angel Raphael,PER,"['person', 'object', 'art', 'artist', 'artwork', 'character', 'creation', 'idol', 'painter', 'painting', 'representation', 'visual artist']"
49,1699,1719,448,468,Fondaco de'Tedeschi,LOC,"['person', 'art', 'artist', 'art form', 'art historian', 'artwork', 'creation', 'creator', 'painter', 'painting', 'visual artist']"
50,0,21,0,21,Andrea del Verrocchio,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'film maker', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'producer', 'professional', 'sculptor', 'visual artist']"
50,1014,1032,119,137,S. Maria del Fiore,LOC,"['location', 'place', 'art', 'building', 'city', 'art collection', 'art gallery', 'art historian', 'art school', 'home', 'museum', 'space', 'art house', 'museum piece', 'artifact']"
51,1745,1753,433,441,Crucifix,LOC,"['person', 'object', 'art', 'artwork', 'representation', 'holy cross', 'artifact']"
53,749,759,94,104,Santi Titi,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,942,944,287,289,Sc,LOC,"['person', 'actor', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,953,971,298,316,Giovanni dal Carso,PER,"['person', 'actor', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,1223,1238,180,195,Transfiguration,MISC,"['object', 'event', 'art', 'artwork', 'miracle', 'narrative', 'painting', 'story', 'transformation', 'action painting', 'life story']"
53,1370,1388,55,73,Orazio Sammacchini,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'master', 'paint', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,2846,2852,143,149,Equity,MISC,"['person', 'object', 'character', 'concept', 'figure', 'idea', 'point', 'representation', 'concept art', 'fairness', 'moral', 'stick figure']"
53,2944,2953,241,250,Caprarola,PER,"['person', 'art', 'artist', 'adult', 'art historian', 'art student', 'artwork', 'creator', 'master', 'painter', 'painting', 'professional', 'visual artist']"
