id,start_pos,end_pos,surface,type,value
15,1816,1917,"Christ taken down from the Cross, with the Thieves fixed on their crosses, and the Madonna in a swoon",WORK,NIL
15,2437,2458,Signora Livia Colonna,WORK,NIL
16,1507,1525,life of that Saint,WORK,NIL
16,1895,1905,S. Antonio,WORK,NIL
16,2311,2331,head of Appius Cæcus,WORK,NIL
17,120,138,stories of S. Paul,WORK,NIL
17,189,210,tomb of Maestro Paolo,WORK,NIL
19,941,1006,"S. Filippo, the founder of that Servite Order, assuming the habit",WORK,Q4015931
19,2514,2532,life of S. Filippo,WORK,NIL
20,1627,1655,stories of the Old Testament,WORK,NIL
24,2157,2164,De Asse,WORK,NIL
24,2212,2220,Pandects,WORK,Q838526
27,2045,2053,Crucifix,WORK,NIL
27,2122,2130,Crucifix,WORK,NIL
29,218,249,stories from the life of Joseph,WORK,Q3651297
29,513,542,Joseph ministering to Pharaoh,WORK,Q3771677
29,668,732,"Trinity, or rather, God the Father supporting a Christ Crucified",WORK,NIL
29,799,809,Assumption,WORK,NIL
30,1285,1305,stories of Christ—in,WORK,NIL
30,1310,1353,His taking Peter and Andrew from their nets,WORK,NIL
30,1376,1408,Feast of Simon and the Magdalene,WORK,NIL
30,1547,1558,Dead Christ,WORK,NIL
31,639,733,"Annunciation, and a God the Father in Heaven surrounded by many angels in the form of children",WORK,NIL
36,697,706,S. Philip,WORK,Q3947052
37,28,33,S. Lo,WORK,Q3948822
37,257,304,"S. Lo, the Farrier, is shoeing a frenzied horse",WORK,Q3948822
38,1427,1468,Magi presenting their offerings to Christ,WORK,NIL
39,454,497,Christ giving the Communion to the Apostles,WORK,NIL
39,612,623,Dead Christ,WORK,NIL
39,726,814,"actions of S. Helena, the mother of the Emperor Constantine, in the finding of the Cross",WORK,NIL
39,1057,1062,Saint,WORK,NIL
39,1165,1225,Christ appearing to Mary Magdalene in the form of a gardener,WORK,NIL
39,1238,1305,S. Peter leaving the ship and walking over the water towards Christ,WORK,NIL
39,1328,1351,Baptism of Jesus Christ,WORK,NIL
39,1473,1502,Saint consecrating the church,WORK,NIL
39,1536,1580,"S. Cantius, S. Cantianus, and S. Cantianilla",WORK,NIL
39,1706,1725,S. John the Baptist,WORK,NIL
39,1731,1743,S. Sebastian,WORK,NIL
39,1839,1906,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome,WORK,NIL
39,1974,2001,S. Catharine and S. Francis,WORK,NIL
39,2020,2084,"Our Lady with S. James the Apostle, S. Francis, and many figures",WORK,NIL
39,2178,2202,Madonna and many figures,WORK,NIL
39,2415,2441,S. Laurence and S. Francis,WORK,Q17590
41,94,147,Madonna who has under her mantle the people of Arezzo,WORK,NIL
41,822,993,"Madonna with the Child in her arms, with some angels who are opening her mantle, beneath which is the said people; with S. Laurentino and S. Pergentino, the martyrs, below",WORK,NIL
41,1862,1874,Annunciation,WORK,NIL
41,2011,2023,S. Catherine,WORK,NIL
41,2128,2145,S. Mary Magdalene,WORK,NIL
41,2312,2338,Crucifix with four figures,WORK,NIL
41,2418,2447,stories of S. Nicholas—namely,WORK,NIL
41,2449,2493,his throwing the golden balls to the maidens,WORK,NIL
41,2499,2603,"his delivering two from death, while the executioner is seen apparelled and ready to cut off their heads",WORK,NIL
43,423,646,"S. Cecilia, who, entranced by a choir of angels on high, stands listening to the sound, wholly absorbed in the harmony; and in her countenance is seen that abstraction which is found in the faces of those who are in ecstasy",WORK,Q1103801
44,1611,1621,S. Stephen,WORK,NIL
44,1625,1650,disputation of that Saint,WORK,NIL
44,1838,1846,S. Lucia,WORK,NIL
45,888,1006,"Christ and Our Lady in the air, who are praying to God the Father for the people below, where some Saints are kneeling",WORK,NIL
45,1109,1137,Dead Christ with the  Maries,WORK,NIL
45,1160,1200,"Assumption of Our Lady, with some Saints",WORK,NIL
45,1402,1426,Our Lady and some Saints,WORK,NIL
45,1544,1584,"Our Lady, S. Anne, and many other Saints",WORK,NIL
45,1631,1663,Beheading of S. John the Baptist,WORK,NIL
45,1728,1740,Annunciation,WORK,NIL
45,1802,1851,"S. Rocco, S. Sebastian, and between them Our Lady",WORK,NIL
45,1968,2004,"Our Lady, S. Sebastian, and S. James",WORK,NIL
45,1978,1990,S. Sebastian,WORK,NIL
45,2101,2108,S. Anne,WORK,NIL
49,387,412,Our Lady going into Egypt,WORK,NIL
49,1124,1189,"Our Lady with other figures the size of life, of men and children",WORK,NIL
49,1386,1421,Angel Raphael with Tobias and a dog,WORK,NIL
50,1444,1464,altar of S. Giovanni,WORK,Q24933218
51,2343,2350,Madonna,WORK,NIL
53,1244,1271,Marriage of Cana in Galilee,WORK,NIL
53,1281,1313,Centurion kneeling before Christ,WORK,NIL
53,1686,1714,stories of Moses and Pharaoh,WORK,NIL
53,2028,2065,Angel slaying the first-born in Egypt,WORK,NIL
53,2834,2841,Justice,WORK,NIL
53,2846,2852,Equity,WORK,NIL
