text_idx,head_start,head_end,head_type,head,tail_start,tail_end,tail_type,tail,relation
9,85,104,per,Raffaello da Urbino,126,199,media,"portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",notable work
10,769,784,per,Marco Calavrese,872,878,loc,Naples,place of birth
10,1036,1041,loc,Siren,943,947,loc,Rome,location
10,1036,1041,concept,Siren,943,947,loc,Rome,location
11,144,150,loc,Norcia,116,124,loc,Calabria,part of
11,144,150,loc,Norcia,116,124,loc,Calabria,location
11,61,87,per,Maestro Cola dalla Matrice,329,338,concept,architect,occupation
12,98,106,loc,Lombardy,108,115,loc,Tuscany,shares border with
12,236,243,per,Lorenzo,214,219,per,Piero,child
13,658,666,misc,S. Peter,671,693,misc,S. John the Evangelist,sibling
13,131,152,loc,Chapel of the Tedaldi,94,122,loc,Church of the Servite Friars,part of
13,94,122,loc,Church of the Servite Friars,145,152,loc,Tedaldi,location
14,552,571,loc,Badia of S. Stefano,597,606,loc,Sermoneta,location
14,83,115,per,Girolamo Siciolante of Sermoneta,106,115,loc,Sermoneta,place of birth
14,83,102,per,Girolamo Siciolante,106,115,loc,Sermoneta,place of birth
15,3,19,per,Jacopo del Conte,23,33,loc,Florentine,place of birth
15,3,19,concept,Jacopo del Conte,23,33,loc,Florentine,place of birth
15,835,848,per,Piero Strozzi,23,33,loc,Florentine,place of birth
16,804,837,per,Giovanni da Santo Stefano a Ponte,841,849,loc,Florence,place of birth
16,832,837,loc,Ponte,841,849,loc,Florence,location
16,832,849,loc,Ponte of Florence,841,849,loc,Florence,location
17,26,45,loc,Chapel of the Scali,49,59,loc,S. Trinita,location
17,49,59,loc,S. Trinita,63,71,loc,Florence,location
17,26,45,loc,Chapel of the Scali,63,71,loc,Florence,location
18,21,26,media,Lives,166,182,per,Andrea del Sarto,author
18,166,182,per,Andrea del Sarto,21,26,media,Lives,notable work
19,973,986,media,Servite Order,941,951,per,S. Filippo,founded by
19,973,986,media,Servite Order,941,951,misc,S. Filippo,founded by
19,721,740,per,Alesso Baldovinetti,755,773,media,Nativity of Christ,notable work
20,523,540,per,Galasso Ferrarese,609,616,loc,Ferrara,place of birth
20,554,569,per,Piero dal Borgo,609,616,loc,Ferrara,place of birth
21,26,31,per,Cosmè,41,48,loc,Ferrara,place of birth
21,171,176,concept,organ,184,189,loc,Duomo,location
21,94,100,loc,chapel,104,115,loc,S. Domenico,location
22,854,864,loc,Roman name,677,683,loc,Romans,country
22,462,471,concept,buildings,476,484,concept,edifices,instance of
22,677,683,loc,Romans,854,864,loc,Roman name,named after
23,270,288,per,Giuliano da Maiano,912,921,concept,architect,occupation
23,34,65,loc,Church of the Madonna of Loreto,59,65,loc,Loreto,location
23,356,365,per,Sixtus IV,912,921,concept,architect,occupation
24,800,812,per,Fra Giocondo,816,822,loc,Verona,place of birth
24,800,822,per,Fra Giocondo of Verona,680,721,concept,Lives of the Painters and other Craftsmen,notable work
24,680,721,concept,Lives of the Painters and other Craftsmen,800,822,per,Fra Giocondo of Verona,author
25,369,378,loc,that city,252,270,loc,Republic of Venice,country
25,352,359,loc,lagoons,252,270,loc,Republic of Venice,country
25,522,530,loc,the city,252,270,loc,Republic of Venice,country
26,915,925,loc,Vespignano,946,954,loc,Florence,location
26,915,925,loc,Vespignano,946,954,loc,Florence,shares border with
26,915,925,loc,Vespignano,934,954,loc,district of Florence,location
27,94,110,loc,Massa di Maremma,129,134,loc,Lucca,shares border with
27,302,321,per,Dolfo da Pietramala,522,538,org,Ghibelline party,member of
27,580,586,per,Giotto,862,867,loc,Italy,country of citizenship
28,615,633,per,Lorenzo de' Medici,731,743,per,Michelagnolo,sibling
28,615,633,per,Lorenzo de' Medici,511,529,per,Francesco Granacci,student
28,615,633,per,Lorenzo de' Medici,511,529,per,Francesco Granacci,child
29,688,702,misc,God the Father,668,675,concept,Trinity,part of
29,891,897,concept,Girdle,869,876,per,Madonna,owned by
29,891,897,concept,Girdle,913,922,misc,S. Thomas,owned by
30,101,113,per,Pinturicchio,91,95,loc,Rome,place of birth
30,47,71,per,Domenico del Ghirlandajo,91,95,loc,Rome,place of birth
30,0,6,per,Jacopo,91,95,loc,Rome,place of birth
31,590,613,org,Company of the Nunziata,617,623,loc,Arezzo,headquarters location
31,590,613,loc,Company of the Nunziata,617,623,loc,Arezzo,location
31,590,613,org,Company of the Nunziata,617,623,loc,Arezzo,location
32,147,155,concept,painters,82,91,concept,craftsmen,instance of
32,852,858,concept,theory,892,900,concept,practice,part of
32,161,171,concept,architects,82,91,concept,craftsmen,instance of
33,117,125,loc,Nunziata,154,162,loc,Florence,location
33,131,150,loc,Church of the Servi,154,162,loc,Florence,location
33,194,206,per,Leon Batista,117,125,loc,Nunziata,notable work
34,1093,1101,concept,contours,1086,1091,concept,lines,part of
34,1093,1101,concept,contours,1086,1091,concept,lines,instance of
34,1086,1091,concept,lines,1093,1101,concept,contours,instance of
35,71,76,loc,Giant,80,88,loc,Florence,location
35,43,48,concept,Pietà,80,88,loc,Florence,location
35,927,946,loc,Church of S. Pietro,950,954,loc,Rome,location
36,762,785,loc,Oratory of Orsanmichele,683,691,loc,Florence,location
36,773,785,loc,Orsanmichele,683,691,loc,Florence,location
36,773,785,loc,Orsanmichele,762,769,concept,Oratory,instance of
37,71,83,loc,Orsanmichele,60,67,concept,Oratory,instance of
37,60,83,loc,Oratory of Orsanmichele,28,33,misc,S. Lo,owned by
37,60,83,loc,Oratory of Orsanmichele,112,129,org,Guild of Farriers,owned by
38,381,386,loc,Palma,372,380,loc,Venetian,location
38,372,386,loc,Venetian Palma,566,569,concept,art,genre
38,372,386,loc,Venetian Palma,566,569,concept,art,instance of
39,737,746,concept,S. Helena,766,785,per,Emperor Constantine,child
39,737,746,concept,S. Helena,774,785,per,Constantine,child
39,740,746,concept,Helena,766,785,per,Emperor Constantine,child
40,0,26,per,Parri di Spinello Spinelli,39,45,loc,Arezzo,place of birth
40,204,220,per,Lorenzo Ghiberti,125,133,loc,Florence,place of birth
40,0,17,per,Parri di Spinello,39,45,loc,Arezzo,place of birth
41,348,361,per,Lazzaro Ricco,141,147,loc,Arezzo,place of birth
41,616,626,per,S. Donatus,628,634,concept,Bishop,occupation
41,52,76,loc,Maria della Misericordia,35,45,concept,Fraternity,instance of
42,1000,1007,concept,madness,987,995,concept,savagery,instance of
42,309,335,per,Raffaello Sanzio da Urbino,538,546,concept,courtesy,occupation
42,309,335,per,Raffaello Sanzio da Urbino,538,546,concept,courtesy,genre
43,163,183,loc,S. Giovanni in Monte,187,194,loc,Bologna,location
43,39,52,loc,Santi Quattro,187,194,loc,Bologna,location
43,12,25,per,Lorenzo Pucci,27,52,loc,Cardinal of Santi Quattro,member of
44,760,765,per,David,770,791,per,Benedetto Ghirlandajo,sibling
44,1151,1156,per,David,1187,1195,per,Domenico,sibling
44,1151,1172,per,Benedetto Ghirlandajo,1187,1195,per,Domenico,sibling
44,760,765,per,David,865,873,per,Domenico,sibling
45,776,795,loc,Church of S. Felice,799,805,loc,Piazza,location
45,786,795,loc,S. Felice,799,805,loc,Piazza,location
45,776,795,loc,Church of S. Felice,846,855,loc,Camaldoli,location
46,908,922,loc,Monte Fiascone,736,743,loc,Orvieto,location
46,0,19,per,Michele San Michele,37,43,loc,Verona,place of birth
47,238,261,loc,Chapel of the Guareschi,161,167,loc,Verona,location
47,238,278,loc,Chapel of the Guareschi in S. Bernardino,161,167,loc,Verona,location
47,238,261,loc,Chapel of the Guareschi,265,278,loc,S. Bernardino,location
48,414,426,per,Gian Bellini,287,293,loc,Venice,place of birth
48,20,26,loc,Cadore,62,67,loc,Piave,located in or next to body of water
48,414,426,concept,Gian Bellini,287,293,loc,Venice,place of birth
49,10,19,per,Giorgione,69,89,loc,Fondaco de' Tedeschi,notable work
49,140,147,per,Tiziano,107,116,loc,Barberigo,notable work
49,140,147,per,Tiziano,195,203,loc,Merceria,notable work
50,0,21,per,Andrea del Verrocchio,25,35,loc,Florentine,place of birth
50,885,893,concept,geometry,859,867,concept,sciences,part of
50,0,21,per,Andrea del Verrocchio,54,63,concept,goldsmith,occupation
51,686,705,per,Giuliano de' Medici,745,752,per,Lorenzo,sibling
51,686,705,concept,Giuliano de' Medici,745,752,per,Lorenzo,sibling
51,686,705,per,Giuliano de' Medici,745,752,concept,Lorenzo,sibling
52,234,240,per,Taddeo,87,91,loc,Vado,place of birth
52,72,83,loc,Sant'Agnolo,87,91,loc,Vado,location
52,87,91,loc,Vado,109,114,loc,State,location
53,892,909,per,Federigo Zucchero,926,932,per,Taddeo,sibling
53,926,932,per,Taddeo,892,909,per,Federigo Zucchero,sibling
53,749,759,per,Santi Titi,774,782,loc,Florence,place of birth
