doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
44,5,1821,1846,20,45,altar-picture of S. Lucia,Artwork,S. Lucia
45,4,888,894,127,133,Christ,Artwork,Christ and Our Lady in the air
45,4,899,907,138,146,Our Lady,Artwork,Christ and Our Lady in the air
45,5,1160,1182,152,174,Assumption of Our Lady,Artwork,"Assumption of Our Lady, with some Saints"
45,6,1402,1427,200,225,Our Lady and some Saints.,Artwork,Our Lady and some Saints
45,7,1627,1663,199,235,the Beheading of S. John the Baptist,Artwork,Beheading of S. John the Baptist
45,7,1706,1740,278,312,an altar-piece of the Annunciation,Artwork,Annunciation
45,9,2101,2108,55,62,S. Anne,Artwork,S. Anne
49,4,981,990,161,170,Ecce Homo,Artwork,Ecce Homo
49,6,1386,1411,135,160,Angel Raphael with Tobias,Artwork,Angel Raphael with Tobias and a dog
51,7,2343,2350,77,84,Madonna,Artwork,Madonna
53,3,1223,1238,180,195,Transfiguration,Artwork,Transfiguration
53,3,1244,1271,201,228,Marriage of Cana in Galilee,Artwork,Marriage of Cana in Galilee
53,7,2028,2065,46,83,Angel slaying the first-born in Egypt,Artwork,Angel slaying the first-born in Egypt
53,9,2804,2879,101,176,"two figures larger than life, Justice and Equity, which were much extolled;",Artwork,Justice
