id,start_pos,end_pos,surface,iconclass_ID
raffaello:739,165,311,"Madonna, and between her legs her Son, to whom a little S. John, full of joy, is offering a bird, with great delight and pleasure for both of them",
raffaello:740,336,430,"Galatea in a car on the sea drawn by two dolphins, and surrounded by Tritons and many sea-gods",
ridolfo:741,1625,1650,disputation of that Saint,
ridolfo:741,1838,1846,S. Lucia,
ridolfo:741,1870,1894,with the head of a friar,
ridolfo:745,91,113,Coronation of Our Lady,
ridolfo:745,134,170,Madonna surrounded by certain Saints,
ridolfo:746,293,315,stories of S. Benedict,
ridolfo:746,447,613,"same Saint, seated at table with two Angels beside him, is waiting for bread to be sent for him into the grotto by Romanus, but the Devil has cut the cord with stones",
ridolfo:746,623,670,same Saint investing a young man with the habit,
ridolfo:747,228,257,stories of the life of Joseph,
ridolfo:747,316,338,Visitation of Our Lady,
sanmichele:750,87,122,Coronation of the Emperor Charles V,
sanmichele:750,144,229,"after being crowned in Bologna, he rides with the Pope through the city in great pomp",
tiziano:755,138,204,"Our Lady, S. Mark, and S. Andrew with the countenance of that Doge",
tiziano:756,135,351,"Angel Raphael with Tobias and a dog in the Church of S. Marziliano, with a distant landscape, where, in a little wood, S. John the Baptist is praying on his knees to Heaven, whence comes a radiance that illumines him",
tiziano:757,56,75,Judgment of Solomon,
verrocchio:620,1105,1148,"animals, foliage, and other bizarre fancies",
verrocchio:620,1268,1292,dance of little children,
verrocchio:621,81,111,boy of bronze squeezing a fish,
verrocchio:623,255,303,"Christ rising from the dead, with certain angels",
verrocchio:625,344,372,Baptism of Christ by S. John,
zuccaro:762,66,108,"four Evangelists, two Sibyls, two Prophets",
zuccaro:762,114,186,four not very large stories of Jesus Christ and of the Virgin His Mother,
zuccaro:763,104,137,stories of the life of that Saint,
zuccaro:763,195,254,"little boys, and women after the manner of terminal figures",
zuccaro:764,77,85,Apostles,
