id,type,start_pos,end_pos,surface,beginDate,end_date,value
gallo_young:673,,99,115,in the year 1512,,,
gallo_young:673,,283,305,the death of Julius II,,,
gallo_young:674,,0,27,In the time of Pope Paul II,,,
gallo_young:674,,213,231,at the present day,,,
gallo_young:674,,414,454,"in the time of Clement, in the year 1526",,,
gallo_young:676,,36,106,at the time when his nephew Alessandro de' Medici was Duke of Florence,,,
giocondo:679,,251,278,in the time of Fra Giocondo,,,
giocondo:680,,407,423,in the year 1463,,,
giocondo:681,,50,90,on the day of S. Chiara in the year 1536,,,
giotto:685,,995,1011,in the year 1276,,,
giotto:685,,1218,1221,ten,,,
giotto:686,,0,16,In the year 1322,,,
giotto:686,,68,86,in the year before,,,
giotto:687,,50,112,from the time when the book of these Lives was first published,,,
giotto:690,,184,193,six years,,,
granacci:693,,1564,1566,to,,,
granacci:694,,101,114,the year 1513,,,
granacci:694,,123,142,entry of Pope Leo X,,,
granacci:695,,9,26,sixty-seven years,,,
granacci:695,,189,230,"the day of S. Andrew the Apostle, in 1544",,,
jacopo:702,,32,89,at the time when the Emperor Charles V was expected there,,,
lba:706,,136,140,1481,,,
lba:707,,17,42,in the time of Nicholas V,,,
lba:708,,114,130,in the year 1450,,,
michelagnolo:712,,2405,2421,in the year 1474,,,
michelagnolo:712,,2664,2676,in that year,,,
michelagnolo:712,,2834,2863,"on the 6th of March, a Sunday",,,
michelagnolo:712,,2865,2899,about the eighth hour of the night,,,
michelagnolo:713,,23,27,1488,,,
michelagnolo:713,,39,62,this first day of April,,,
michelagnolo:713,,181,213,for the three years next to come,,,
michelagnolo:714,,0,16,In the year 1549,,,
michelagnolo:714,,34,60,the death of Pope Paul III,,,
michelagnolo:714,,73,110,after the election of Pope Julius III,,,
nanni:702,,32,89,at the time when the Emperor Charles V was expected there,,,
palma:723,,191,223,at the Festival of the Ascension,,,
palma:724,,30,46,in the year 1548,,,
palma:725,,42,177,"at the very time when Mariano da Perugia had finished a panel-picture, with a large ornamental frame, for the high-altar of S. Agostino",,,
parri:729,,2281,2310,after the death of his father,,,
parri:730,,376,392,in the year 1422,,,
parri:731,,37,62,on the second day of June,,,
raffaello:735,,2138,2167,at three o'clock of the night,,,
raffaello:735,,2168,2200,"on Good Friday, in the year 1483",,,
raffaello:736,,225,251,"August 9, in the year 1548",,,
raffaello:737,,15,51,Burning of the Borgo Vecchio of Rome,,,
ridolfo:742,,178,201,the festival of S. John,,,
ridolfo:744,,122,170,the entry of the Emperor Charles V into Florence,,,
ridolfo:744,,184,195,in ten days,,,
sanmichele:748,,47,60,the year 1484,,,
sanmichele:748,,202,215,sixteen years,,,
sanmichele:749,,13,29,in the year 1559,,,
tiziano:754,,118,134,in the year 1480,,,
tiziano:754,,993,1006,the year 1507,,,
tiziano:755,,4,51,in the year when Andrea Gritti was elected Doge,,,
tiziano:756,,5,83,"in the year 1507, while the Emperor Maximilian was making war on the Venetians",,,
verrocchio:620,,1562,1574,at this time,,,
verrocchio:621,,180,198,at the present day,,,
verrocchio:622,,44,76,the death of Giuliano de' Medici,,,
verrocchio:623,,12,33,in the time of Andrea,,,
zuccaro:759,,0,36,Francesco Maria being Duke of Urbino,,,
zuccaro:759,,116,156,on the 1st of September in the year 1529,,,
zuccaro:760,,0,16,In the year 1548,,,
zuccaro:760,,330,344,eighteen years,,,
zuccaro:761,,50,76,in the time of Pope Julius,,,
