id,surface,start_pos,end_pos,type
31,at the gate,883,894,WORK
31,the entry,1009,1018,WORK
31,the hands,1376,1385,WORK
31,the Palace,1509,1519,WORK
32,the way,189,196,WORK
32,a man,262,267,WORK
32,a man,665,670,WORK
33,a square,225,233,WORK
33,the wall,659,667,WORK
33,the chapel,1523,1533,WORK
33,on the road,2233,2244,WORK
33,the family,2784,2794,WORK
34,Ruler of Heaven,522,537,WORK
34,the earth,573,582,WORK
34,the end,1502,1509,WORK
34,the life,1584,1592,WORK
34,Mercury and Venus,3096,3113,WORK
34,the city,3438,3446,WORK
35,the journey,397,408,WORK
35,on board,1617,1625,WORK
35,at the coast,1631,1643,WORK
35,between the church,1748,1766,WORK
35,the rest,1890,1898,WORK
35,the end,1920,1927,WORK
36,the statue,1125,1135,WORK
36,the beginning,1238,1251,WORK
38,a man,104,109,WORK
38,the craftsman,300,313,WORK
38,the altar,1188,1197,WORK
39,the Life,119,127,WORK
39,the altar,927,936,WORK
39,in the Church,1749,1762,WORK
39,the church,2302,2312,WORK
40,the doors,305,314,WORK
41,the life,175,183,WORK
41,the church,1150,1160,WORK
41,In the Church,2044,2057,WORK
41,the door,2206,2214,WORK
41,the Chapel,2263,2273,WORK
41,the arch,2394,2402,WORK
42,the hands,745,754,WORK
42,a father,2115,2123,WORK
42,a painter,2150,2159,WORK
42,a man,2192,2197,WORK
42,only child,2598,2608,WORK
43,the chapel,219,229,WORK
43,the Apostles,1246,1258,WORK
43,Augustine and S. John the Evangelist,1605,1641,WORK
43,to do,2134,2139,WORK
44,the study,1130,1139,WORK
44,the altar,1359,1368,WORK
44,the figure,1597,1607,WORK
44,the church,1915,1925,WORK
45,a young man,133,144,WORK
45,the beginning,322,335,WORK
45,a father,496,504,WORK
45,father and son,706,720,WORK
45,the Church,1206,1216,WORK
45,the Chapel,1432,1442,WORK
45,in the Church,1473,1486,WORK
45,the chapel,2172,2182,WORK
46,the way,1107,1114,WORK
46,a man,1474,1479,WORK
46,the end,1748,1755,WORK
46,the Church,1850,1860,WORK
46,of war,2067,2073,WORK
47,the present,962,973,WORK
47,the door,1180,1188,WORK
47,the chapel,1483,1493,WORK
47,The door,1669,1677,WORK
47,a woman,2373,2380,WORK
48,the Alps,108,116,WORK
48,the family,141,151,WORK
48,the boy,357,364,WORK
48,the life,841,849,WORK
48,the life,1357,1365,WORK
48,the study,1466,1475,WORK
48,the nude,2091,2099,WORK
49,the hall,299,307,WORK
49,In the wood,676,687,WORK
49,the life,764,772,WORK
49,the life,1210,1218,WORK
49,in the Church,1422,1435,WORK
49,S. John the Baptist,1505,1524,WORK
50,a painter,117,126,WORK
50,a musician,132,142,WORK
50,the study,398,407,WORK
50,a man,601,606,WORK
50,the altar,1440,1449,WORK
50,the Apostles,1614,1626,WORK
50,the altar,1652,1661,WORK
50,the Chapel of the Pope,1665,1687,WORK
51,in the Church,1667,1680,WORK
51,at the window,1880,1893,WORK
51,the way,2474,2481,WORK
52,Duke of Urbino,22,36,WORK
52,the painter,161,172,WORK
52,male child,195,205,WORK
53,the end,129,136,WORK
53,in the wood,213,224,WORK
53,a youth,512,519,WORK
53,a painter,761,770,WORK
53,two figures,2804,2815,WORK
53,the chapel,2958,2968,WORK
