id,start_pos,end_pos,label,surface,alias,wb_id,score
29,144,150,MISC,Dragon,Dragon_(magazine),Q2405201,0.9219527519396632
30,0,5,PER,Piero,Piero_della_Francesca,Q5822,0.4874386158357548
30,29,44,PER,Filippo Strozzi,Filippo_Strozzi_the_Younger,Q708954,0.8373257326170293
30,117,124,MISC,Monster,Monster_(manga),Q858384,0.8661019409099026
31,153,158,PER,Loves,Love,Q316,0.38727825954758405
31,395,399,PER,Love,Love,Q316,0.5592488743318847
32,92,99,PER,Michele,Michele,Q12901049,0.893821157948616
33,0,5,PER,Piero,Piero_della_Francesca,Q5822,0.4845292558905865
33,126,131,PER,Piero,Piero_della_Francesca,Q5822,0.48339957314993004
33,147,156,PER,Francesco,Francesco,Q2268455,0.9009287589307595
33,189,194,PER,Piero,Piero_della_Francesca,Q5822,0.48557173585752533
33,327,335,PER,Giuliano,Giuliano_de'_Medici,Q298877,0.86278251291353
