id,start_pos,end_pos,label,surface,alias,wb_id,score
21,271,277,PER,Jerome,Jerome,Q44248,0.3790472379879034
22,121,129,LOC,Castello,Castle,Q23413,0.331574305549965
22,142,153,PER,Duke Cosimo,"Cosimo_I_de'_Medici,_Grand_Duke_of_Tuscany",Q48547,0.38727825954758405
22,187,192,PER,Venus,Venus,Q313,0.6453774961367259
22,215,222,LOC,Zephyrs,Anemoi,Q476682,0.3389095854954866
22,261,267,MISC,Cupids,Cupid,Q5011,0.4651674323962242
22,290,295,PER,Venus,Venus_(mythology),Q47652,0.9079782656958879
22,306,312,MISC,Graces,Charites,Q184353,0.39802138723628755
23,39,45,PER,Medici,House_of_Medici,Q170022,0.9509569035283139
23,60,67,PER,Lorenzo,Lorenzo_de'_Medici,Q177854,0.4807420724927605
23,84,90,PER,Pallas,Athena,Q37122,0.5435322036152237
23,200,209,PER,Sebastian,Saint_Sebastian,Q183332,0.3490677789076964
24,3,20,PER,S. Maria Maggiore,Santa_Maria_Maggiore,Q186282,0.38727825954758405
24,24,32,LOC,Florence,Florence,Q2044,0.3978920032291491
25,20,25,PER,Pucci,Pucci,Q56244015,0.9000274478736751
25,68,77,PER,Boccaccio,Giovanni_Boccaccio,Q1402,0.529031157932335
25,88,109,PER,Nastagio degli Onesti,Nastagio_degli_Onesti,Q1232587,0.38727825954758405
25,186,194,MISC,Epiphany,Epiphany_(holiday),Q132001,0.2468963277747085
26,13,19,PER,Sandro,Sandro_de_América,Q2175443,0.8067793678966049
26,290,294,MISC,Magi,Biblical_Magi,Q51671,0.31296530704439696
27,22,34,PER,Gino Capponi,Gino_Capponi,Q719985,0.38727825954758405
27,56,63,PER,Spirito,Spirito,Q3966827,0.66738187808401
27,67,75,LOC,Florence,Florence,Q2044,0.6982722943556261
27,111,133,MISC,Visitation of Our Lady,Visitation_(Christianity),Q691810,0.38727825954758405
27,143,151,PER,Nicholas,"National_Register_of_Historic_Places_listings_in_Nicholas_County,_West_Virginia",Q6977017,0.38832041363723435
27,162,169,PER,Anthony,Anthony_the_Great,Q170547,0.26638326640894594
28,40,45,PER,Piero,Piero_della_Francesca,Q5822,0.8749552035957643
28,203,210,PER,Filippo,Filippo_Lippi,Q205148,0.3627404758109457
28,346,352,PER,Heaven,Heaven,Q4489450,0.8371852228588783
28,421,432,MISC,Holy Spirit,Holy_Spirit,Q37302,0.9508850141054866
29,7,15,ORG,predella,Predella,Q1411766,0.38727825954758405
29,105,113,PER,Margaret,"Princess_Margaret,_Countess_of_Snowdon",Q153815,0.429162486156542
29,144,150,MISC,Dragon,Dragon_(magazine),Q2405201,0.9219527519396632
30,0,5,PER,Piero,Piero_della_Francesca,Q5822,0.4874386158357548
30,29,44,PER,Filippo Strozzi,Filippo_Strozzi_the_Younger,Q708954,0.8373257326170293
30,79,86,ORG,Perseus,Perseus,Q130832,0.22473216277406954
30,98,107,ORG,Andromeda,Andromeda_(mythology),Q161582,0.4934396705973616
30,117,124,MISC,Monster,Monster_(manga),Q858384,0.8661019409099026
31,46,51,PER,Venus,Venus_(mythology),Q47652,0.9010563034041593
31,60,64,MISC,Mars,Mars_(mythology),Q112,0.5048736101766891
31,153,158,PER,Loves,Love,Q316,0.38727825954758405
31,257,261,MISC,Mars,Mars_(mythology),Q112,0.4968942336342145
31,395,399,PER,Love,Love,Q316,0.5592488743318847
32,92,99,PER,Michele,Michele,Q12901049,0.893821157948616
33,0,5,PER,Piero,Piero_della_Francesca,Q5822,0.4845292558905865
33,126,131,PER,Piero,Piero_della_Francesca,Q5822,0.48339957314993004
33,147,156,PER,Francesco,Francesco,Q2268455,0.9009287589307595
33,189,194,PER,Piero,Piero_della_Francesca,Q5822,0.48557173585752533
33,245,254,PER,Cleopatra,Cleopatra,Q635,0.8931245749363176
33,327,335,PER,Giuliano,Giuliano_de'_Medici,Q298877,0.86278251291353
