id,start_pos,end_pos,surface,type,value,is_nested,IC suggestions
44,1879,1894,head of a friar,SUBJ,31A221(+81),,
45,987,993,Saints,SUBJ,11H,,
45,1109,1137,Dead Christ with the  Maries,SUBJ,73D721,,
45,1114,1120,Christ,SUBJ,11D,1,
45,1160,1182,Assumption of Our Lady,SUBJ,73E79;,,
45,1174,1182,Our Lady,SUBJ,11F,1,
45,1194,1200,Saints,SUBJ,11H,,
45,1402,1410,Our Lady,SUBJ,11F,,
45,1420,1426,Saints,SUBJ,11H,,
45,1544,1552,Our Lady,SUBJ,11F,,
45,1554,1561,S. Anne,SUBJ,11HH(ANNE),,
45,1578,1584,Saints,SUBJ,11H(SAINT),,
45,1843,1851,Our Lady,SUBJ,11F,,
45,1968,1976,Our Lady,SUBJ,11F,,
45,1978,1990,S. Sebastian,SUBJ,11H(SEBASTIAN),,
45,1996,2004,S. James,SUBJ,11H(JAMES),,
48,2091,2099,the nude,SUBJ,31A,,
48,2263,2276,persons naked,SUBJ,31A,,
48,2280,2286,draped,SUBJ,41D27,,
49,254,261,figures,SUBJ,31A,,
49,387,395,Our Lady,SUBJ,11F,,
49,438,444,forest,SUBJ,25H15,,
49,457,467,landscapes,SUBJ,25H,,
49,652,662,landscapes,SUBJ,25H,,
49,667,674,verdure,SUBJ,47I,,
49,731,738,animals,SUBJ,25F,,
49,1002,1009,figures,SUBJ,31A,,
49,1124,1132,Our Lady,SUBJ,11F,,
49,1405,1411,Tobias,SUBJ,11I62(TOBIAS),1,
49,1418,1421,dog,SUBJ,34B11,1,
49,1469,1478,landscape,SUBJ,25H,,
50,1618,1626,Apostles,SUBJ,11II3,,
51,2343,2350,Madonna,SUBJ,11F,,
53,1223,1238,Transfiguration,SUBJ,73C713,,
53,1244,1271,Marriage of Cana in Galilee,SUBJ,73C611,,
53,1281,1313,Centurion kneeling before Christ,SUBJ,73D631,,
53,2834,2841,Justice,SUBJ,59C2,,
53,2846,2852,Equity,SUBJ,59C21,,
